epoch,train_total,train_recon,train_kl,val_total,val_recon,val_kl,seconds
1,-127.5698940607796,-140.5709054444501,13.001011477591891,-159.64931274551574,-172.2211339375349,12.5718215346298,5.980411800002912
2,-164.51974747841774,-176.33204596065826,11.812298764238216,-167.60461105184612,-178.71779720820834,11.11318606943573,5.725030099998548
3,-169.1690875397872,-180.0085703820428,10.83948306407703,-170.6820257151898,-181.29650049028498,10.614474537766245,5.772479499999463
4,-171.48460094186166,-181.89794110381482,10.413340281943924,-172.39839367726856,-182.62518304162444,10.226789149311067,5.780226399998355
5,-173.13695565126787,-183.2399751547532,10.103019564582425,-173.39085221893734,-183.27657098736378,9.88571898291876,5.727490500001295
6,-174.63389206494324,-184.34786461189626,9.713972556414555,-174.93528359385215,-184.52461105852524,9.589327051588144,5.896330999999918
7,-175.8750348925743,-185.2581125252881,9.383077578552559,-176.23851424242702,-185.51779873359615,9.27928500978134,5.668458099997224
8,-176.8881300171611,-186.0228205724991,9.13469039489648,-176.90414377144384,-185.8601177194704,8.955973651273327,5.687602699999843
9,-177.67735219291913,-186.60380580729654,8.926453607882264,-177.4000095245882,-186.37535905841082,8.97534984365168,5.65745059999972
10,-178.31863348933445,-187.03805976618816,8.719426042525408,-178.10252221840773,-186.69605553378082,8.593533170557038,5.671365099999093
11,-178.71806982435092,-187.26574101119667,8.547671144589508,-178.71346689352546,-187.12311122907792,8.409643837137164,5.606274699999631
12,-179.2737966141775,-187.62961346296234,8.355816637085942,-179.08067596995411,-187.42790440515495,8.347228803963073,6.087061099999119
13,-179.61436937161386,-187.8261999292256,8.211830414346995,-179.44181833454448,-187.67162701693002,8.229808367829557,5.786776500000997
14,-179.96014533939254,-188.04903609967397,8.088890825489376,-179.74048177168459,-187.73769561698822,7.997213868508586,5.630354000000807
15,-180.25178232713822,-188.2595120274481,8.00772954536045,-179.86601814635895,-188.00792700427115,8.141908601982477,5.7043534000004
16,-180.50449354476171,-188.52329809387368,8.018804532254173,-180.26847167320486,-188.38631191345746,8.117840258976175,5.643285500002094
17,-180.74109866361138,-188.92103068535488,8.179931910191485,-180.46378004296938,-188.6972028807808,8.233423383373289,5.702424200000678
18,-181.02686546228418,-189.38665667604195,8.359790899327136,-180.65078965387508,-189.07133263181865,8.42054262772073,5.798908099997789
19,-181.183711806808,-189.51120638745977,8.327494620701337,-180.94730894385253,-189.21913403724986,8.27182472070621,5.635603300001094
20,-181.3164578955815,-189.59696530089983,8.28050739778067,-180.56984428943528,-188.80717872445285,8.237335065971205,5.654333599999518
21,-181.41510320516903,-189.63595275702107,8.22084942727029,-181.11460227512032,-189.30547936387026,8.190877059528901,5.551030999999057
22,-181.5481109062433,-189.72213140115912,8.174020611700124,-181.18854687865385,-189.29689836112257,8.108351695180746,5.71441550000236
23,-181.63756866439817,-189.77940801726714,8.141839206378014,-181.3351074857193,-189.41170581514368,8.076598264229501,5.531889999998384
24,-181.69735844621755,-189.80893625802958,8.111577649283861,-181.48098158478774,-189.5503346197928,8.069353172638657,5.609563800000615
25,-181.8301105640089,-189.89964417025044,8.069533663652031,-181.53216663823466,-189.57547913874544,8.043312527491112,5.710605899999791
26,-181.902502384641,-189.9442196279017,8.041717093823085,-181.68310852738335,-189.69920110539834,8.016092536239944,5.678519499997492
27,-182.00663699738124,-190.00468487998003,7.998047858183638,-181.762976476929,-189.7147263442507,7.951749675328378,5.6881358999999065
28,-182.1219453579366,-190.0820727480319,7.96012750080538,-181.8171880333455,-189.69736035914525,7.880171567249574,5.552965999999287
29,-182.2283323278407,-190.1318094928331,7.903477303925964,-181.95742096448197,-189.80328459701317,7.845863378443133,5.6865937000002305
30,-182.41555543707142,-190.2547504299408,7.839195067438558,-182.25737056676928,-190.04296498711486,7.7855942297641745,5.729320300000836
31,-182.6406517192848,-190.41949373533257,7.77884192802954,-182.71766786848497,-190.54542595231345,7.827757813104065,5.672073599998839
32,-182.87078097778993,-190.59529833485212,7.724517327796211,-182.9246343322302,-190.63694190647504,7.7123073781998475,5.709371900000406
33,-183.1168418165267,-190.80083410860436,7.683992441214379,-183.2877114199272,-190.99228619642108,7.704574872628646,5.6730994999998074
34,-183.71473855987452,-191.54000989749,7.825271301033864,-183.78166142842144,-191.6803109219652,7.898649282857541,5.630588400003035
35,-183.99867698531756,-191.94124196046135,7.9425650577504845,-183.99337346298273,-191.93969830088497,7.946324844839184,5.561135799998738
36,-184.16374771369735,-192.1118579763171,7.948110224793375,-184.17632151230148,-192.1231671753519,7.946846133196204,5.647966699998506
37,-184.30171457146795,-192.21593189213522,7.914217174296349,-184.21872388767898,-192.0912527447158,7.8725291759514295,5.693609899997682
38,-184.4087558287988,-192.28085108716974,7.872095212687876,-184.46800680415285,-192.31199289253757,7.843985865113817,5.6438892999976815
39,-184.54613987346232,-192.36168464506707,7.815544859825233,-184.58902227415854,-192.36684892186022,7.777826698101867,5.783689100000629
40,-184.67483611522675,-192.42061353056116,7.745777448750672,-184.72236069211786,-192.45861493255842,7.736254040589469,5.619037899999967
41,-184.7850908429521,-192.47483775895617,7.689746987886391,-184.80253261717178,-192.45615301558854,7.653620229198651,5.710393400000612
42,-184.87352956602095,-192.5286060398197,7.655076424087045,-184.93770135806463,-192.58723169872528,7.649530557946143,5.609329999999318
43,-184.93938946737174,-192.58297427423025,7.6435845826527675,-184.94654646800728,-192.59218888198367,7.645642596116817,7.368998800000554
44,-184.98358126508847,-192.61755581353503,7.633974665211122,-185.08866529608986,-192.7001003111909,7.611434799687902,6.323692100002518
45,-185.03527374915316,-192.65384079702633,7.618567161289861,-185.03428430769043,-192.64254994903456,7.608265387808582,5.95726349999677
46,-185.07917686736837,-192.68764555064257,7.608468663570094,-184.8171060238615,-192.39499427640712,7.577888555867441,5.571893699998327
47,-185.11178362874392,-192.718311249579,7.6065276429037745,-185.04765102655358,-192.66759298107883,7.61994154671975,5.5439904000013485
48,-185.14698006714465,-192.74499022536875,7.598010232411769,-185.24192952480507,-192.8515625736665,7.609633382969744,5.547418400001334
49,-185.1923840718275,-192.78319824296835,7.590814102246334,-185.1603570197148,-192.73290023386267,7.572543021755507,5.6511122999982035
50,-185.21827456054376,-192.80987782334896,7.5916031233701275,-185.30453945291285,-192.89146553091118,7.586926252188927,5.777336899998772
51,-185.24349660041082,-192.84027344066135,7.596776965772851,-185.2695080440682,-192.8265404963056,7.5570331060276335,5.5416734000027645
52,-185.2773393228059,-192.8648772169817,7.587537956437087,-185.26760878598225,-192.86678874614657,7.599180064279626,5.708813299999747
53,-185.30556777138352,-192.89820695198745,7.592639355739284,-185.29949724868368,-192.86997231298372,7.570474978417187,5.59885999999824
54,-185.3371048277507,-192.93382590178317,7.596721098488753,-185.40399628520433,-193.00641508173015,7.602418716382781,5.554267299998173
55,-185.3655553593323,-192.96435836520848,7.598803016561096,-185.42432206776658,-193.01980933320456,7.595487575021479,5.669456100000389
56,-185.39178183696816,-193.00388577647016,7.612103912460845,-185.46234274852839,-193.07095494069276,7.608612860350275,5.573201700000936
57,-185.423429545826,-193.0418250957959,7.618395634500474,-185.51417577453162,-193.0961208533811,7.581945211756141,5.618621899997379
58,-185.44527077781171,-193.07396757602075,7.628696792095372,-185.50189380676446,-193.11211165178617,7.610217817519538,5.575217600002361
59,-185.4695367750132,-193.10775894923646,7.638222243318397,-185.55874346293243,-193.1737575731133,7.615014265248888,5.462835800000903
60,-185.49839169426096,-193.1550790685932,7.656687189094076,-185.60433493799283,-193.24529206196442,7.640956791305911,5.386630199998763
61,-185.53561088558513,-193.19856749268365,7.662956604492249,-185.40383892175964,-193.0803384418076,7.676499673642643,5.605385499999102
62,-185.55278774458625,-193.23618079473454,7.683393058809019,-185.56415760444222,-193.23685176715537,7.672694671104144,5.758222199998272
63,-185.5837851330594,-193.2880690692575,7.704283845752821,-185.66360571069046,-193.37356209952924,7.709956885166862,5.580297900000005
64,-185.60692052306413,-193.33421236778747,7.727291949380613,-185.66414022405775,-193.40569683132657,7.741556545573107,5.735870900000009
65,-185.6424273131542,-193.38684752421997,7.744420242377317,-185.5914714055695,-193.33777262500755,7.746301115046447,5.724451899997803
66,-185.67078978657864,-193.43595848923687,7.7651687905564355,-185.7099858750858,-193.4793657855969,7.769379928559401,5.576270800000202
67,-185.7106559837161,-193.49408745241882,7.783431706018775,-185.74685294915903,-193.5383086470649,7.791455419845508,5.660510800000338
68,-185.7655221708307,-193.56571986616584,7.800197760521692,-185.8113859109722,-193.62336023267457,7.811974377381982,5.581666600002791
69,-185.79320453116992,-193.61810444216,7.824899566731108,-185.90199855267906,-193.7451571559998,7.8431587304568655,5.671039199998631
70,-185.8275184416268,-193.67737684465055,7.849858409979318,-185.87859273615243,-193.75661713422437,7.878024369925212,5.643698399999266
71,-185.8559761672081,-193.73092849140482,7.874952210681391,-185.8744082094505,-193.78647549140865,7.912067068601521,5.732035099998029
72,-185.8702186204275,-193.77253702775766,7.902318369405104,-185.9333458838142,-193.84950552290567,7.916159453267716,5.536475999997492
73,-185.89940340302138,-193.83014283148023,7.930739384400432,-185.94578315531052,-193.89440859035545,7.9486256300769975,5.748839200001385
74,-185.93376214891475,-193.87536448277586,7.941602722257447,-185.89645151875584,-193.83552130388225,7.9390697758259945,5.566366099999868
75,-185.94721076482634,-193.91692044119338,7.969709619357799,-185.96193248403773,-193.9348137822687,7.972881246480214,5.577362600000924
76,-185.9840418417653,-193.96027826729372,7.9762363367669655,-186.00001068851898,-193.95278673617065,7.952776094521976,5.464287700000568
77,-186.00346550963846,-193.98913424965318,7.985668646803662,-185.8819741741729,-193.85633358987613,7.974359539094599,5.549991899999441
78,-186.02899949039,-194.018981331476,7.989981778545164,-185.99173125975148,-193.97559921416894,7.983867620309143,5.532712700001866
79,-186.05572440650735,-194.047665763629,7.991941354174996,-186.02178611988649,-193.99281028745102,7.97102477288837,5.62806289999935
80,-186.09108982731354,-194.0853217980979,7.994231982750209,-186.07888367661795,-194.06451879819952,7.985635502283927,5.550569600000017
81,-186.10292913404416,-194.10481418216727,8.001885215079493,-186.0859004261028,-194.1038954583479,8.017994832547485,5.810149799999635
82,-186.12716528561054,-194.1363201337823,8.009154870100685,-186.05861620748007,-194.02701528283382,7.9683991071531,5.603887700002815
83,-186.14883663488192,-194.16384706307534,8.015010379182236,-186.0720645871391,-194.06679104945266,7.994726812260152,5.647114299998066
84,-186.16856696496689,-194.1873878301389,8.01882100911752,-186.08957809679063,-194.06745284872113,7.977875393749933,5.57198470000003
85,-186.18819743064032,-194.20515920615773,8.016961854656213,-186.10576918165822,-194.1205971316659,8.014828001205892,5.639711499999976
86,-186.20943085492294,-194.2305505916583,8.021119722242158,-186.033787116722,-194.0303050590935,7.996518041268782,5.615325999999186
87,-186.22686129100722,-194.24707538438054,8.020213994088067,-186.1478810467826,-194.18033996523098,8.032458729217549,5.579078700000537
88,-186.24328800078248,-194.2709294318472,8.027641380271069,-185.90217545051686,-193.8992435598972,7.9970681002334185,5.624415399997815
89,-186.26110626284793,-194.28821663536073,8.02711028601725,-186.01610785055513,-194.0025268093044,7.98641890699855,5.646677500000806
90,-186.27585961396125,-194.30083014771873,8.0249706425026,-185.91805227308515,-193.92285442861822,8.004802191813813,5.664031299998896
