group,n_total,auc_roc,auc_roc_ci_low,auc_roc_ci_high,tpr_at_tau,tau_value
PortScan,159023,0.6759199348252779,0.6742708601770696,0.6776361319456521,0.000245247542808273,-156.9726104736328
DoS_Hulk,158469,0.9175733022765525,0.9165930549165543,0.9186462201772111,0.06729391868441147,-156.9726104736328
DDoS,95123,0.9696149274345109,0.9690704158126873,0.9702107174913964,0.7937197102698611,-156.9726104736328
DoS_GoldenEye,7567,0.9511711406361825,0.9501121695876205,0.9523057816536666,0.47614642526760936,-156.9726104736328
DoS_slowloris,4001,0.9410374302437844,0.9374785119936156,0.9448707108780474,0.8065483629092727,-156.9726104736328
FTP_Patator,3973,0.9327101424543696,0.9317387421388399,0.9337469307084408,0.003523785552479235,-156.9726104736328
SSH_Patator,2980,0.9823937024465845,0.9811077956496115,0.9835077257378032,0.9842281879194631,-156.9726104736328
DoS_Slowhttptest,1742,0.9907795712996569,0.989746931385274,0.9915881534549145,0.9942594718714122,-156.9726104736328
Bot,738,0.6448343521679349,0.6377088396146976,0.6520495715206649,0.05962059620596206,-156.9726104736328
Web_Attack,190,0.9444346606435061,0.9321727630027915,0.9555796080661337,0.6,-156.9726104736328
Infiltration,32,0.9927627172002044,0.9885458920295219,0.9959011130567548,0.96875,-156.9726104736328
DoS_Hulk_attempted,579,0.9357717912039176,0.9283670829154443,0.9427354236129969,0.7322970639032815,-156.9726104736328
DoS_GoldenEye_attempted,80,0.7944834215745833,0.7885117253662078,0.8020916438771569,0.025,-156.9726104736328
DoS_slowloris_attempted,1706,0.9727789958532379,0.9707522368919628,0.9748053697434131,0.9577960140679953,-156.9726104736328
DoS_Slowhttptest_attempted,3367,0.9857694055979387,0.9850643662360404,0.9864300687104244,0.8930798930798931,-156.9726104736328
Bot_attempted,1470,0.6128483852373993,0.6109257211379449,0.6148385685557088,0.0,-156.9726104736328
WebAttack_BruteForce,151,0.9626790747942509,0.9539998835948728,0.9707842010799593,0.6357615894039735,-156.9726104736328
WebAttack_BruteForce_attempted,1214,0.7475120434075209,0.7458376332621972,0.7495568448745509,0.0,-156.9726104736328
