group,n_total,auc_roc,auc_roc_ci_low,auc_roc_ci_high,tpr_at_tau,tau_value
PortScan,159023,0.6756466493626198,0.6740408994976226,0.6773374354993754,0.0008803757946963647,-155.0493621826172
DoS_Hulk,158469,0.9109246821384629,0.9099470485565623,0.9120049170277651,0.07357905962680399,-155.0493621826172
DDoS,95123,0.9663559451905641,0.9657560571134228,0.9669830794309566,0.7410825983200698,-155.0493621826172
DoS_GoldenEye,7567,0.9490570182655919,0.9479185790742025,0.9502676910610145,0.4859257301440465,-155.0493621826172
DoS_slowloris,4001,0.9411295505909772,0.9374919390296977,0.944974249837551,0.8137965508622844,-155.0493621826172
FTP_Patator,3973,0.9270167131340997,0.9259500502916433,0.9281284791215954,0.03699974830103197,-155.0493621826172
SSH_Patator,2980,0.970032273551799,0.968509936617992,0.9713695190253353,0.7922818791946309,-155.0493621826172
DoS_Slowhttptest,1742,0.9905884540069356,0.9895885007443833,0.9913974889694703,0.9942594718714122,-155.0493621826172
Bot,738,0.6416056893942236,0.6347732172400598,0.6493352438533216,0.05962059620596206,-155.0493621826172
Web_Attack,190,0.9439551320559032,0.9318262349663612,0.9555514120858609,0.631578947368421,-155.0493621826172
Infiltration,32,0.9923963584391758,0.9878989777660213,0.9957796074203114,0.96875,-155.0493621826172
DoS_Hulk_attempted,579,0.9357991055930718,0.9280276801768388,0.9429199626764958,0.7374784110535406,-155.0493621826172
DoS_GoldenEye_attempted,80,0.7998108110282788,0.784976524877193,0.8153073780178708,0.0375,-155.0493621826172
DoS_slowloris_attempted,1706,0.9674886678200377,0.9652286295850923,0.9697257931896324,0.9044548651817116,-155.0493621826172
DoS_Slowhttptest_attempted,3367,0.9841620992948031,0.983328293373916,0.984914216168868,0.896940896940897,-155.0493621826172
Bot_attempted,1470,0.6168856208444651,0.6145269083812409,0.6193348390888977,0.0,-155.0493621826172
WebAttack_BruteForce,151,0.9621662021696221,0.9527819323389669,0.9705008072824796,0.6754966887417219,-155.0493621826172
WebAttack_BruteForce_attempted,1214,0.7516480429722511,0.7491546742141671,0.7542150976042814,0.0,-155.0493621826172
