group,n_total,n_used_silhouette,mahalanobis_mean,mahalanobis_median,mahalanobis_p25,mahalanobis_p75,silhouette_score,active_dims_used
PortScan,159023,10000,2.8754751403643954,2.8705341299782434,2.7276081324145136,2.882605267973899,0.4989059567451477,"[0, 1, 3, 4, 5, 6]"
DoS_Hulk,158469,10000,3.5713733433778176,3.0855052932944735,2.9438663960460745,3.9961412724908523,0.45610541105270386,"[0, 1, 3, 4, 5, 6]"
DDoS,95123,10000,5.820944836212253,5.7260638247344735,4.847602813472435,6.782490447924042,0.48773741722106934,"[0, 1, 3, 4, 5, 6]"
DoS_GoldenEye,7567,10000,4.423504424733681,4.059753208479397,3.2486229578278585,5.3950397410857605,0.3133956789970398,"[0, 1, 3, 4, 5, 6]"
DoS_slowloris,4001,9001,6.4915322367467585,6.265172599632124,3.264370146430272,8.817849572387674,0.3556581139564514,"[0, 1, 3, 4, 5, 6]"
FTP_Patator,3973,8973,2.003650469707803,2.003966911488431,2.000051783601186,2.00765271029196,0.45210903882980347,"[0, 1, 3, 4, 5, 6]"
SSH_Patator,2980,7980,1.3876928226562293,1.3749420520895215,1.3693138585717068,1.3825210241076662,0.31746187806129456,"[0, 1, 3, 4, 5, 6]"
DoS_Slowhttptest,1742,6742,5.053251492107792,3.5620533166603074,3.4044992895506283,5.9852719336599325,0.3442511260509491,"[0, 1, 3, 4, 5, 6]"
Bot,738,5738,2.2718891061425883,1.7944186260080066,1.791413669510155,1.7961327603952324,0.1749095916748047,"[0, 1, 3, 4, 5, 6]"
Web_Attack,190,5190,3.8501619261143047,3.5783599532685075,2.729722992524501,5.193529415153097,0.20591719448566437,"[0, 1, 3, 4, 5, 6]"
Infiltration,32,5032,35.606454050506414,4.350821943904627,3.398883652112825,27.18352842645114,0.8819838166236877,"[0, 1, 3, 4, 5, 6]"
DoS_Hulk_attempted,579,5579,5.119082752793794,5.593748658008462,2.8612909670619144,6.305199595749556,0.36782315373420715,"[0, 1, 3, 4, 5, 6]"
DoS_GoldenEye_attempted,80,5080,2.9227623931168516,2.8596068609146412,2.859552535858783,2.8612337334777114,0.15202118456363678,"[0, 1, 3, 4, 5, 6]"
DoS_slowloris_attempted,1706,6706,3.641239276905992,3.7052770289383092,3.7052603991206166,3.7052898999114796,0.45268747210502625,"[0, 1, 3, 4, 5, 6]"
DoS_Slowhttptest_attempted,3367,8367,4.919170379011735,5.352759973801833,5.351661760042328,5.353583975617042,0.49164628982543945,"[0, 1, 3, 4, 5, 6]"
Bot_attempted,1470,6470,2.8639402674431658,2.8638581332872257,2.862826797187014,2.8651241640202993,0.34985193610191345,"[0, 1, 3, 4, 5, 6]"
WebAttack_BruteForce,151,5151,3.904343806078418,3.5810608710905405,2.735819660344321,5.205215126046436,0.20858383178710938,"[0, 1, 3, 4, 5, 6]"
WebAttack_BruteForce_attempted,1214,6214,2.1685699560624694,2.160394429962177,2.158616355372847,2.1626538543253226,0.2566371262073517,"[0, 1, 3, 4, 5, 6]"
