group,n_total,tau_95,tpr_at_tau_95,tau_99,tpr_at_tau_99,delta_tpr
PortScan,159023,-156.9726104736328,0.000245247542808273,-132.5055694580078,2.5153594134181846e-05,0.00022009394867409117
DoS_Hulk,158469,-156.9726104736328,0.06729391868441147,-132.5055694580078,0.014135256737910884,0.05315866194650058
DDoS,95123,-156.9726104736328,0.7937197102698611,-132.5055694580078,0.1446232772305331,0.6490964330393281
DoS_GoldenEye,7567,-156.9726104736328,0.47614642526760936,-132.5055694580078,0.28254261926787366,0.1936038059997357
DoS_slowloris,4001,-156.9726104736328,0.8065483629092727,-132.5055694580078,0.7253186703324169,0.08122969257685575
FTP_Patator,3973,-156.9726104736328,0.003523785552479235,-132.5055694580078,0.0,0.003523785552479235
SSH_Patator,2980,-156.9726104736328,0.9842281879194631,-132.5055694580078,0.23691275167785236,0.7473154362416108
DoS_Slowhttptest,1742,-156.9726104736328,0.9942594718714122,-132.5055694580078,0.6486796785304249,0.3455797933409873
Bot,738,-156.9726104736328,0.05962059620596206,-132.5055694580078,0.037940379403794036,0.02168021680216802
Web_Attack,190,-156.9726104736328,0.6,-132.5055694580078,0.46842105263157896,0.13157894736842102
Infiltration,32,-156.9726104736328,0.96875,-132.5055694580078,0.625,0.34375
DoS_Hulk_attempted,579,-156.9726104736328,0.7322970639032815,-132.5055694580078,0.3229706390328152,0.40932642487046633
DoS_GoldenEye_attempted,80,-156.9726104736328,0.025,-132.5055694580078,0.025,0.0
DoS_slowloris_attempted,1706,-156.9726104736328,0.9577960140679953,-132.5055694580078,0.0023446658851113715,0.9554513481828839
DoS_Slowhttptest_attempted,3367,-156.9726104736328,0.8930798930798931,-132.5055694580078,0.8307098307098307,0.062370062370062374
Bot_attempted,1470,-156.9726104736328,0.0,-132.5055694580078,0.0,0.0
WebAttack_BruteForce,151,-156.9726104736328,0.6357615894039735,-132.5055694580078,0.47019867549668876,0.16556291390728478
WebAttack_BruteForce_attempted,1214,-156.9726104736328,0.0,-132.5055694580078,0.0,0.0
