feature,estado,n_unicos,valor_moda,frac_moda,intervalos_efectivos,categorica,H_bits,H_norm,intervalos_efectivos_qcut,H_bits_qcut,baja_informacion
Protocol,conservada,3,6.0,0.5232919099380435,3,True,1.0067026390969698,0.6351586480051871,3,1.0067026390969698,False
Flow Duration,conservada,867993,49.0,0.008008967529372326,20,False,4.321821786703103,0.9999754026022817,20,4.321821786703103,False
Total Fwd Packet,conservada,1447,2.0,0.33877946934816366,10,False,2.8310592743645957,0.852233761086448,11,2.925279199948086,False
Total Bwd packets,descartada,1756,2.0,0.35972211706454366,10,False,2.784600907269565,0.8382483990412753,9,2.630211793195363,False
Total Length of Fwd Packet,conservada,17211,0.0,0.14578758974315018,18,False,4.085350413473319,0.9797179594501723,18,3.9594205536166127,False
Total Length of Bwd Packet,descartada,63403,0.0,0.15798699155865584,16,False,3.8782765223638602,0.9695691305909651,15,3.6790730440960493,False
Fwd Packet Length Max,conservada,5262,0.0,0.14578758974315018,18,False,4.071229785005712,0.9763316567078633,18,3.9463663376046587,False
Fwd Packet Length Min,conservada,204,0.0,0.5216933544950265,11,False,2.579045996800042,0.745511483130848,10,2.3705792831960992,False
Fwd Packet Length Mean,conservada,119550,0.0,0.14578758974315018,18,False,4.083949499747377,0.9793820028741052,18,4.063792752752927,False
Fwd Packet Length Std,conservada,231970,0.0,0.6034501559746307,9,False,2.155092764344146,0.6798560733656416,8,1.9090681447232243,False
Bwd Packet Length Max,descartada,4835,0.0,0.15798699155865584,18,False,4.069527364458319,0.9759233950372569,17,3.8996658204388943,False
Bwd Packet Length Min,conservada,461,0.0,0.5276223428241908,10,False,2.4951176460853897,0.7511052541822079,10,2.377065655447533,False
Bwd Packet Length Mean,descartada,160236,0.0,0.15798699155865584,18,False,4.070096207379612,0.9760598106613018,17,3.9179874742803764,False
Bwd Packet Length Std,descartada,230312,0.0,0.6086520087180081,9,False,2.1396294861960494,0.6749779522299488,8,1.9165530059355829,False
Flow Bytes/s,conservada,1375221,0.0,0.1437695146858055,18,False,4.093836622396378,0.9817530581438235,18,4.084183001795574,False
Flow Packets/s,conservada,1002380,40816.32653061225,0.008010396086515326,20,False,4.32176595458307,0.9999624842661115,20,4.32176595458307,False
Flow IAT Mean,conservada,1045859,49.0,0.008403249300840325,20,False,4.321892087028573,0.9999916685659735,20,4.321892087028573,False
Flow IAT Std,conservada,1139666,0.0,0.23471098622347109,16,False,3.7760331756146313,0.9440082939036578,16,3.7400470122200558,False
Flow IAT Max,conservada,683362,49.0,0.011598455444016989,20,False,4.321635146952657,0.999932218230319,20,4.321635146952657,False
Flow IAT Min,conservada,101386,3.0,0.24974750252497474,12,False,3.2018379785081974,0.8931301172227356,12,3.148317538262205,False
Fwd IAT Total,descartada,780915,0.0,0.22177206799360577,15,False,3.6801476172768703,0.9419633151267365,14,3.4808012854958266,False
Fwd IAT Mean,conservada,852094,0.0,0.22177206799360577,15,False,3.6798732404885786,0.9418930861859517,14,3.4771544299389427,False
