feature_a,feature_b,cluster_eda_a,cluster_eda_b,mismo_cluster_eda,fusionado_en_P,ambas_en_51,pearson_r,pearson_abs,spearman_abs,H_x,H_y,H_xy,bins_x,bins_y,mi_bits,bias_bits,mi_corr_bits,nmi_sqrt,nmi_max,u_x_given_y,u_y_given_x,r_info,g_stat,g_dof,g_pvalue,mi_ref_gauss_bits,gauss_ratio,nmi_sqrt_B10,nmi_max_B10,r_info_B10,mi_corr_bits_B10,mi_ref_gauss_bits_B10,gauss_ratio_B10,bins_x_B10,bins_y_B10,nmi_sqrt_B50,nmi_max_B50,r_info_B50,mi_corr_bits_B50,mi_ref_gauss_bits_B50,gauss_ratio_B50,bins_x_B50,bins_y_B50,nmi_sqrt_qcut20,nmi_max_qcut20,r_info_qcut20,mi_corr_bits_qcut20,mi_ref_gauss_bits_qcut20,gauss_ratio_qcut20,bins_x_qcut20,bins_y_qcut20,ksg_mi_nats,ksg_r_info
Protocol,Flow Duration,,5.0,False,False,True,-0.29905038467561107,0.29905038467561107,0.39368328798861274,1.0067026390969698,4.321821786703103,4.789654192196733,3,20,0.5388702336033395,1.3052824603606492e-05,0.5388571807787359,0.2583388035020517,0.12468287851124064,0.5352694627502917,0.12468287851124064,0.7254110357316209,1568746.4967493927,38,0.0,0.6762725750619374,0.7968047214237305,0.2655269724137732,0.14617238466809304,0.6999272915211994,0.48557147061960576,0.6689027248110905,0.7259223988910187,3,10,0.24744840455865905,0.10452215740674659,0.7473223540608496,0.589742135240224,0.6791729929974973,0.8683238899671576,3,50,0.2583388035020517,0.12468287851124064,0.7254110357316209,0.5388571807787359,0.6762725750619374,0.7968047214237305,3,20,0.4732063126593395,0.7822206211015269
Protocol,Total Fwd Packet,,1.0,False,False,True,-0.011528031138938742,0.011528031138938742,0.5723181741156399,1.0067026390969698,2.8310592743645957,3.301833113922313,3,10,0.5359287995392523,6.182916917497811e-06,0.5359226166223349,0.31745122001302806,0.18930109357834538,0.5323544369597233,0.18930109357834538,0.724078609144527,1560203.2548588652,18,0.0,0.6227823838451397,0.8605295052077079,0.31340532533971116,0.2029384432743952,0.7007724658251314,0.48724750713504694,0.6177598026680001,0.7887329428536907,3,6,0.3023881386253903,0.16975763070607383,0.7269428018827157,0.5422523031365908,0.6241187117708028,0.8688287867512677,3,17,0.3142882112082715,0.18437202817721027,0.7256293510250469,0.5393396590790356,0.6238473762860195,0.8645378334199499,3,11,0.3840044582335959,0.7321639950147016
Protocol,Total Bwd packets,,1.0,False,False,False,-0.010197136757492769,0.010197136757492769,0.5158350124179734,1.0067026390969698,2.784600907269565,3.22574677222568,3,10,0.5655567741408549,6.182916917497811e-06,0.5655505912239375,0.3377842354794646,0.20309933453928483,0.5617851481260111,0.20309933453928483,0.7371790129568773,1646457.6150492122,18,0.0,0.6110566758159873,0.9255288643540596,0.35799837738740226,0.23307276181262615,0.7319740518377627,0.5535690505350243,0.6081092716091062,0.9103118080575155,3,6,0.32056425224262686,0.18210050474327805,0.738268181584098,0.5680940467786594,0.6071067517566003,0.9357399586397915,3,17,0.3406851111776647,0.21076980678357843,0.7323255241155349,0.5543692314516759,0.6031989483462636,0.9190487366921647,3,9,0.3952194425339277,0.739157863191616
Protocol,Total Length of Fwd Packet,,,False,False,True,-0.04287134095225163,0.04287134095225163,0.19852326377183496,1.0067026390969698,4.085350413473319,4.251236456247079,3,18,0.8408165963232097,1.1678843066384755e-05,0.8408049174801433,0.41460065398771145,0.20580974271073615,0.8352068275437922,0.20580974271073615,0.8296176268417197,2447791.021065089,34,0.0,0.6751381363806774,1.2453820517199379,0.40708699148622435,0.22465105005478805,0.8017551785777811,0.742620961407301,0.6696166418744199,1.109024051923985,3,10,0.37819009455944486,0.1673624477473191,0.8346189535595009,0.8603268710161233,0.676964951050857,1.2708588083927128,3,42,0.4200512603345112,0.21180542476769396,0.829049260997589,0.8386267521927047,0.6747945191643239,1.2427883279657832,3,18,0.6449228342949969,0.8512853403552572
Protocol,Total Length of Bwd Packet,,1.0,False,False,False,-0.007849375557350224,0.007849375557350224,0.2879899232998487,1.0067026390969698,3.8782765223638602,4.138587665288206,3,16,0.7463914961726239,1.0304861529163019e-05,0.7463811913110947,0.3777380182891812,0.19245177258690302,0.7414117757559591,0.19245177258690302,0.802912491847756,2172900.205981857,30,0.0,0.6748962806559187,1.1059198468032765,0.4089348018057482,0.2310219607195597,0.7974066692878468,0.7287122762565703,0.6678248977588708,1.0911726692161812,3,9,0.34341468377868867,0.156286867552009,0.8069369938314258,0.7596550724606875,0.6768339518034824,1.1223654936879586,3,38,0.3472972308013182,0.18166979194668598,0.7772317891592456,0.6683764344775899,0.6744215731669799,0.9910365579484609,3,15,0.578306771603212,0.8279193270698688
Protocol,Fwd Packet Length Max,,10.0,False,False,True,-0.31707484677293674,0.31707484677293674,0.18806544830866972,1.0067026390969698,4.071229785005712,4.242394252375231,3,18,0.8355381717274506,1.1678843066384755e-05,0.8355264928843842,0.4127117313725699,0.20522705349661613,0.8299635467667655,0.20522705349661613,0.8282366437604696,2432424.221867969,34,0.0,0.6749961574695686,1.2378240729793382,0.3981020833889171,0.21976055188315527,0.7965480616263853,0.726006269052189,0.6698019537108896,1.0839118414479263,3,10,0.38813977227440954,0.1720405562597257,0.8398722115257127,0.8815494168344967,0.6769087310202812,1.3023165109803914,3,42,0.42772039764091224,0.21602890608634012,0.8326410827563684,0.8525292029286908,0.6748184528932115,1.2633460144333095,3,18,0.6433378254331874,0.8507717660950305
Protocol,Fwd Packet Length Min,,,False,False,True,0.6315432324555137,0.6315432324555137,0.9317793599664838,1.0067026390969698,2.579045996800042,2.605450635144082,3,11,0.9802980007529296,6.86990768610868e-06,0.9802911308452436,0.6083799963662359,0.3800983511195777,0.9737643399093323,0.3800983511195777,0.8620181304960993,2853869.87900127,20,0.0,0.6004263906137062,1.6326583011170963,0.6718038966677801,0.46453980557842917,0.8615553364597586,0.9780550738319397,0.5969607730435184,1.6383908591605894,3,6,0.5530670395701112,0.3130879382042342,0.8626868082960504,0.9835363712415022,0.6014284656940874,1.6353339213940223,3,24,0.5086558601223583,0.33147243106592006,0.8145897039338683,0.7857816780355172,0.5668776354474249,1.386157486024856,3,10,0.6894626462965441,0.8649571829100425
Protocol,Fwd Packet Length Mean,,4.0,False,False,True,-0.04981781223418901,0.04981781223418901,0.13414007383147908,1.0067026390969698,4.083949499747377,4.705340453563997,3,18,0.3853116852803504,1.1678843066384755e-05,0.385300006437284,0.1900239017209934,0.09434494879555139,0.3827346740472489,0.09434494879555139,0.6432933732592739,1121703.5920770266,34,0.0,0.6752158192257283,0.5706323748147792,0.20532970512050125,0.1133811155612337,0.6362787146247878,0.37433811431613867,0.6690396587725266,0.5595155823840535,3,10,0.20487955790017345,0.09049712661713538,0.6903284334045969,0.46694278973803094,0.6769275046818191,0.6897973365072694,3,43,0.19238946154510825,0.0957560244528981,0.6457031336764453,0.38913263820411936,0.675112259869215,0.5763969362362097,3,18,0.584526513661932,0.830264422046206
Protocol,Fwd Packet Length Std,,10.0,False,False,True,-0.3668137498006501,0.3668137498006501,0.6846641810541138,1.0067026390969698,2.155092764344146,2.7230467334294923,3,9,0.43874867001162343,5.495926148886944e-06,0.43874317408547453,0.2978700133445561,0.20358435671282862,0.4358220163990381,0.20358435671282862,0.6750444561346134,1277289.8680214777,16,0.0,0.5242056667521657,0.8369676291441233,0.3291029282185075,0.24875988075810504,0.6748039169262887,0.43831300854179034,0.5222382580803853,0.8392970100523031,3,5,0.27533739817671427,0.1687552009552427,0.6824800362881397,0.4522457029439927,0.5248876084556583,0.8616048381759382,3,21,0.2938714778470106,0.21340142989647737,0.6568949935850434,0.40739787185375126,0.4653548011617515,0.8754564707115697,3,8,0.3422286306586892,0.70401428032454
Protocol,Bwd Packet Length Max,,0.0,False,False,False,-0.4717004757811802,0.4717004757811802,0.2886294187080064,1.0067026390969698,4.069527364458319,4.298890725683504,3,18,0.7773392778717856,1.1678843066384755e-05,0.7773275990287192,0.3840444536956055,0.1910117636307347,0.7721521418936538,0.1910117636307347,0.8121515395223268,2262992.8509826036,34,0.0,0.6751233775381009,1.1513859909033446,0.41606046586679873,0.23500383744832207,0.8014234702951823,0.7415478073858459,0.6676443584503184,1.1106928381856864,3,9,0.3603515670725567,0.1598607397159694,0.8234890151301804,0.8177343080415275,0.6768967915605261,1.2080635013150423,3,42,0.36109685764035093,0.1834681224896777,0.7931632526970337,0.7154643664130925,0.6745374977944038,1.0606739710579636,3,17,0.5976623075108405,0.8351013663750834
