criterion,variant,dataset,column,threshold,n_edges,n_groups,n_dropped,final_size,edges_shared_with_P,n_ambiguous,anadidas_vs_51,quitadas_vs_51
P,B20,EDA,pearson_abs,0.95,51,12,23,51,,0,,
P_sin_apriori,B20,EDA,pearson_abs,0.95,52,12,22,52,51.0,0,Packet Length Variance,
L,B20,EDA,r_info,0.95,113,5,26,48,24.0,0,ACK Flag Count; Bwd IAT Min; Bwd PSH Flags; Bwd Packet Length Std; Bwd Packet/Bulk Avg; Fwd IAT Min; Fwd URG Flags; Idle Max; Idle Mean; Subflow Fwd Bytes,Bwd IAT Mean; Bwd Packets/s; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Fwd IAT Mean; Fwd Packet Length Mean; Fwd Packet Length Min; Packet Length Mean; Packet Length Min; Total Length of Fwd Packet
L_cal,B20,EDA,r_info,0.9413966274520271,128,5,27,47,28.0,0,Bwd IAT Min; Bwd PSH Flags; Bwd Packet Length Std; Bwd Packet/Bulk Avg; Fwd IAT Min; Fwd URG Flags; Idle Max; Idle Mean; Subflow Fwd Bytes,Bwd IAT Mean; Bwd Packets/s; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Fwd IAT Mean; Fwd Packet Length Mean; Fwd Packet Length Min; Packet Length Mean; Packet Length Min; Total Length of Fwd Packet
S,B20,EDA,nmi_max,0.36277530974817007,271,15,51,23,37.0,0,Bwd IAT Min,Active Max; Active Mean; Active Min; Active Std; Bwd Bulk Rate Avg; Bwd IAT Mean; Bwd IAT Std; Bwd Init Win Bytes; Bwd Packet Length Min; Bwd Packets/s; ECE Flag Count; FIN Flag Count; FWD Init Win Bytes; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg; Fwd IAT Mean; Fwd PSH Flags; Fwd Packet Length Mean; Fwd Packet Length Min; Fwd Packet Length Std; Fwd Seg Size Min; Protocol; Total Fwd Packet; Total Length of Fwd Packet
G,B20,EDA,gauss_ratio,1.0,500,12,50,24,48.0,1,Bwd IAT Min; Fwd IAT Min,Active Mean; Active Min; Active Std; Bwd Bulk Rate Avg; Bwd IAT Mean; Bwd IAT Std; Bwd Packet Length Min; Bwd Packets/s; Down/Up Ratio; ECE Flag Count; FWD Init Win Bytes; Flow Bytes/s; Flow Duration; Flow IAT Mean; Flow IAT Std; Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg; Fwd IAT Mean; Fwd IAT Std; Fwd PSH Flags; Fwd Packet Length Min; Fwd Seg Size Min; Idle Min; Packet Length Mean; Packet Length Min; Protocol; SYN Flag Count; Total Fwd Packet; Total Length of Fwd Packet
A_0.5,B20,EDA,nmi_sqrt,0.29035329079958894,746,10,53,21,50.0,1,Bwd IAT Min; Fwd IAT Min,Active Mean; Active Min; Active Std; Bwd Bulk Rate Avg; Bwd IAT Max; Bwd IAT Std; Bwd Init Win Bytes; Bwd Packet Length Min; Bwd Packets/s; ECE Flag Count; FWD Init Win Bytes; Flow Duration; Flow IAT Mean; Flow IAT Std; Flow Packets/s; Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg; Fwd IAT Mean; Fwd IAT Std; Fwd PSH Flags; Fwd Packet Length Max; Fwd Packet Length Min; Fwd Packet Length Std; Fwd Seg Size Min; Idle Min; Idle Std; PSH Flag Count; Packet Length Min; Protocol; SYN Flag Count; Total Fwd Packet; Total Length of Fwd Packet
A_1,B20,EDA,nmi_sqrt,0.37682639611202484,396,17,45,29,48.0,1,Bwd IAT Min; Bwd Packet Length Std,Active Max; Active Mean; Active Min; Active Std; Bwd Bulk Rate Avg; Bwd IAT Mean; Bwd Packet Length Min; Bwd Packets/s; ECE Flag Count; FWD Init Win Bytes; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg; Fwd IAT Mean; Fwd Packet Length Max; PSH Flag Count; Packet Length Mean; Packet Length Min; Protocol; Total Fwd Packet
A_1.5,B20,EDA,nmi_sqrt,0.4632995014244607,206,13,43,31,37.0,2,Bwd IAT Min; Fwd IAT Min; Subflow Fwd Bytes; Total Bwd packets,Active Max; Active Mean; Active Min; Active Std; Bwd Bulk Rate Avg; Bwd IAT Mean; Bwd Packets/s; ECE Flag Count; FIN Flag Count; FWD Init Win Bytes; Flow Duration; Flow IAT Max; Flow IAT Mean; Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg; Fwd IAT Mean; Fwd PSH Flags; Fwd Packet Length Mean; Fwd Packet Length Min; Fwd Packet Length Std; Packet Length Min; Protocol; SYN Flag Count; Total Length of Fwd Packet
A_2,B20,EDA,nmi_sqrt,0.5497726067368965,112,17,35,39,28.0,1,Bwd IAT Min; Bwd Packet Length Std; Fwd IAT Min; Fwd IAT Total,Active Max; Active Mean; Active Min; Active Std; Bwd Bulk Rate Avg; Bwd IAT Mean; Bwd IAT Std; ECE Flag Count; FWD Init Win Bytes; Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg; Fwd PSH Flags; Fwd Packet Length Max; Packet Length Min; Protocol; SYN Flag Count
L,B10,EDA,r_info_B10,0.95,66,9,20,54,15.0,0,ACK Flag Count; Bwd Header Length; Bwd IAT Min; Bwd PSH Flags; Bwd Packet Length Std; Bwd Packet/Bulk Avg; Fwd IAT Min; Fwd URG Flags; Idle Max; Idle Mean; Total Length of Bwd Packet,Bwd IAT Mean; Bwd Packets/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Fwd Packet Length Max; Packet Length Min
L_cal,B10,EDA,r_info_B10,0.9286147340631774,108,6,24,50,24.0,0,ACK Flag Count; Bwd IAT Min; Bwd PSH Flags; Bwd Packet Length Std; Bwd Packet/Bulk Avg; Fwd IAT Min; Fwd URG Flags; Idle Max; Idle Mean,Bwd IAT Mean; Bwd Packets/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Fwd IAT Mean; Fwd Packet Length Mean; Packet Length Mean; Packet Length Min; Total Length of Fwd Packet
S,B10,EDA,nmi_max_B10,0.4305729689550942,205,14,45,29,32.0,1,ACK Flag Count; Bwd Header Length; Fwd IAT Min,Active Max; Active Mean; Active Min; Active Std; Bwd Bulk Rate Avg; Bwd IAT Max; Bwd IAT Std; Bwd Packet Length Min; Bwd Packets/s; ECE Flag Count; FWD Init Win Bytes; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg; Fwd PSH Flags; Fwd Packet Length Mean; Fwd Packet Length Min; Fwd Seg Size Min; Packet Length Mean; Protocol; Total Fwd Packet; Total Length of Fwd Packet
G,B10,EDA,gauss_ratio_B10,1.0,435,16,50,24,45.0,1,Bwd IAT Min,Active Max; Active Mean; Active Min; Active Std; Bwd Bulk Rate Avg; Bwd IAT Mean; Bwd IAT Std; Bwd URG Flags; Down/Up Ratio; ECE Flag Count; FIN Flag Count; Flow Duration; Flow IAT Mean; Flow IAT Std; Flow Packets/s; Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg; Fwd PSH Flags; Fwd Packet Length Mean; Fwd Packet Length Min; Fwd Seg Size Min; Idle Min; Idle Std; Protocol; SYN Flag Count; Total Fwd Packet; Total Length of Fwd Packet; URG Flag Count
A_0.5,B10,EDA,nmi_sqrt_B10,0.30093435664042256,762,10,54,20,50.0,1,Bwd IAT Min; Fwd IAT Min,Active Max; Active Mean; Active Min; Active Std; Bwd Bulk Rate Avg; Bwd IAT Mean; Bwd IAT Std; Bwd Init Win Bytes; Bwd Packet Length Min; ECE Flag Count; FIN Flag Count; Flow Bytes/s; Flow Duration; Flow IAT Mean; Flow IAT Std; Flow Packets/s; Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg; Fwd IAT Mean; Fwd IAT Std; Fwd PSH Flags; Fwd Packet Length Mean; Fwd Packet Length Min; Fwd Packet Length Std; Fwd Seg Size Min; Idle Min; PSH Flag Count; Packet Length Mean; Packet Length Min; Protocol; SYN Flag Count; Total Fwd Packet; Total Length of Fwd Packet
