criterion,variant,dataset,grupo,representante,n,miembros,descartadas
P,B20,EDA,0,Total Fwd Packet,6,ACK Flag Count; Bwd Header Length; Fwd Header Length; Total Bwd packets; Total Fwd Packet; Total Length of Bwd Packet,ACK Flag Count; Bwd Header Length; Fwd Header Length; Total Bwd packets; Total Length of Bwd Packet
P,B20,EDA,1,Packet Length Std,4,Bwd Packet Length Max; Bwd Packet Length Std; Packet Length Max; Packet Length Std,Bwd Packet Length Max; Bwd Packet Length Std; Packet Length Max
P,B20,EDA,2,Flow IAT Max,4,Flow IAT Max; Fwd IAT Max; Idle Max; Idle Mean,Fwd IAT Max; Idle Max; Idle Mean
P,B20,EDA,3,Flow Duration,3,Bwd IAT Total; Flow Duration; Fwd IAT Total,Bwd IAT Total; Fwd IAT Total
P,B20,EDA,4,Packet Length Mean,3,Bwd Packet Length Mean; Packet Length Mean; Subflow Bwd Bytes,Bwd Packet Length Mean; Subflow Bwd Bytes
P,B20,EDA,5,Bwd Bytes/Bulk Avg,2,Bwd Bytes/Bulk Avg; Bwd Packet/Bulk Avg,Bwd Packet/Bulk Avg
P,B20,EDA,6,Bwd IAT Mean,2,Bwd IAT Mean; Bwd IAT Min,Bwd IAT Min
P,B20,EDA,7,PSH Flag Count,2,Bwd PSH Flags; PSH Flag Count,Bwd PSH Flags
P,B20,EDA,8,Flow Packets/s,2,Flow Packets/s; Fwd Packets/s,Fwd Packets/s
P,B20,EDA,9,Fwd IAT Mean,2,Fwd IAT Mean; Fwd IAT Min,Fwd IAT Min
P,B20,EDA,10,Fwd Packet Length Mean,2,Fwd Packet Length Mean; Subflow Fwd Bytes,Subflow Fwd Bytes
P,B20,EDA,11,URG Flag Count,2,Fwd URG Flags; URG Flag Count,Fwd URG Flags
P_sin_apriori,B20,EDA,0,Total Fwd Packet,6,ACK Flag Count; Bwd Header Length; Fwd Header Length; Total Bwd packets; Total Fwd Packet; Total Length of Bwd Packet,ACK Flag Count; Bwd Header Length; Fwd Header Length; Total Bwd packets; Total Length of Bwd Packet
P_sin_apriori,B20,EDA,1,Packet Length Std,4,Bwd Packet Length Max; Bwd Packet Length Std; Packet Length Max; Packet Length Std,Bwd Packet Length Max; Bwd Packet Length Std; Packet Length Max
P_sin_apriori,B20,EDA,2,Flow IAT Max,4,Flow IAT Max; Fwd IAT Max; Idle Max; Idle Mean,Fwd IAT Max; Idle Max; Idle Mean
P_sin_apriori,B20,EDA,3,Flow Duration,3,Bwd IAT Total; Flow Duration; Fwd IAT Total,Bwd IAT Total; Fwd IAT Total
P_sin_apriori,B20,EDA,4,Packet Length Mean,3,Bwd Packet Length Mean; Packet Length Mean; Subflow Bwd Bytes,Bwd Packet Length Mean; Subflow Bwd Bytes
P_sin_apriori,B20,EDA,5,Bwd Bytes/Bulk Avg,2,Bwd Bytes/Bulk Avg; Bwd Packet/Bulk Avg,Bwd Packet/Bulk Avg
P_sin_apriori,B20,EDA,6,Bwd IAT Mean,2,Bwd IAT Mean; Bwd IAT Min,Bwd IAT Min
P_sin_apriori,B20,EDA,7,PSH Flag Count,2,Bwd PSH Flags; PSH Flag Count,Bwd PSH Flags
P_sin_apriori,B20,EDA,8,Flow Packets/s,2,Flow Packets/s; Fwd Packets/s,Fwd Packets/s
P_sin_apriori,B20,EDA,9,Fwd IAT Mean,2,Fwd IAT Mean; Fwd IAT Min,Fwd IAT Min
P_sin_apriori,B20,EDA,10,Fwd Packet Length Mean,2,Fwd Packet Length Mean; Subflow Fwd Bytes,Subflow Fwd Bytes
P_sin_apriori,B20,EDA,11,URG Flag Count,2,Fwd URG Flags; URG Flag Count,Fwd URG Flags
L,B20,EDA,0,Packet Length Std,8,Bwd Packet Length Max; Bwd Packet Length Mean; Packet Length Max; Packet Length Mean; Packet Length Std; Packet Length Variance; Subflow Bwd Bytes; Total Length of Bwd Packet,Bwd Packet Length Max; Bwd Packet Length Mean; Packet Length Max; Packet Length Mean; Packet Length Variance; Subflow Bwd Bytes; Total Length of Bwd Packet
L,B20,EDA,1,Bwd IAT Max,7,Bwd IAT Max; Bwd IAT Mean; Bwd IAT Total; Flow IAT Std; Fwd IAT Max; Fwd IAT Mean; Fwd IAT Total,Bwd IAT Mean; Bwd IAT Total; Flow IAT Std; Fwd IAT Max; Fwd IAT Mean; Fwd IAT Total
L,B20,EDA,2,Flow Packets/s,7,Bwd Packets/s; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow Packets/s; Fwd Packets/s,Bwd Packets/s; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Fwd Packets/s
L,B20,EDA,3,Fwd Packet Length Max,5,Fwd Packet Length Max; Fwd Packet Length Mean; Fwd Packet Length Min; Packet Length Min; Total Length of Fwd Packet,Fwd Packet Length Mean; Fwd Packet Length Min; Packet Length Min; Total Length of Fwd Packet
L,B20,EDA,4,Total Fwd Packet,4,Bwd Header Length; Fwd Header Length; Total Bwd packets; Total Fwd Packet,Bwd Header Length; Fwd Header Length; Total Bwd packets
L_cal,B20,EDA,0,Packet Length Std,8,Bwd Packet Length Max; Bwd Packet Length Mean; Packet Length Max; Packet Length Mean; Packet Length Std; Packet Length Variance; Subflow Bwd Bytes; Total Length of Bwd Packet,Bwd Packet Length Max; Bwd Packet Length Mean; Packet Length Max; Packet Length Mean; Packet Length Variance; Subflow Bwd Bytes; Total Length of Bwd Packet
L_cal,B20,EDA,1,Flow Packets/s,8,Bwd Packets/s; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Flow Packets/s; Fwd Packets/s,Bwd Packets/s; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Fwd Packets/s
L_cal,B20,EDA,2,Bwd IAT Max,6,Bwd IAT Max; Bwd IAT Mean; Bwd IAT Total; Fwd IAT Max; Fwd IAT Mean; Fwd IAT Total,Bwd IAT Mean; Bwd IAT Total; Fwd IAT Max; Fwd IAT Mean; Fwd IAT Total
L_cal,B20,EDA,3,Total Fwd Packet,5,ACK Flag Count; Bwd Header Length; Fwd Header Length; Total Bwd packets; Total Fwd Packet,ACK Flag Count; Bwd Header Length; Fwd Header Length; Total Bwd packets
L_cal,B20,EDA,4,Fwd Packet Length Max,5,Fwd Packet Length Max; Fwd Packet Length Mean; Fwd Packet Length Min; Packet Length Min; Total Length of Fwd Packet,Fwd Packet Length Mean; Fwd Packet Length Min; Packet Length Min; Total Length of Fwd Packet
S,B20,EDA,0,Bwd IAT Max,9,Bwd Header Length; Bwd IAT Max; Bwd IAT Mean; Bwd IAT Total; Fwd Header Length; Fwd IAT Max; Fwd IAT Mean; Fwd IAT Total; Total Fwd Packet,Bwd Header Length; Bwd IAT Mean; Bwd IAT Total; Fwd Header Length; Fwd IAT Max; Fwd IAT Mean; Fwd IAT Total; Total Fwd Packet
S,B20,EDA,1,PSH Flag Count,8,ACK Flag Count; Bwd IAT Std; Bwd Init Win Bytes; Bwd PSH Flags; Bwd Packet Length Std; Fwd PSH Flags; Fwd Packet Length Std; PSH Flag Count,ACK Flag Count; Bwd IAT Std; Bwd Init Win Bytes; Bwd PSH Flags; Bwd Packet Length Std; Fwd PSH Flags; Fwd Packet Length Std
S,B20,EDA,2,Flow Packets/s,8,Bwd Packets/s; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Flow Packets/s; Fwd Packets/s,Bwd Packets/s; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Fwd Packets/s
S,B20,EDA,3,Packet Length Std,7,Bwd Packet Length Max; Bwd Packet Length Mean; Packet Length Max; Packet Length Std; Packet Length Variance; Subflow Bwd Bytes; Total Length of Bwd Packet,Bwd Packet Length Max; Bwd Packet Length Mean; Packet Length Max; Packet Length Variance; Subflow Bwd Bytes; Total Length of Bwd Packet
S,B20,EDA,4,Idle Min,6,Active Max; Active Mean; Active Min; Idle Max; Idle Mean; Idle Min,Active Max; Active Mean; Active Min; Idle Max; Idle Mean
S,B20,EDA,5,Packet Length Min,6,Bwd Packet Length Min; FWD Init Win Bytes; Fwd Packet Length Min; Fwd Seg Size Min; Packet Length Min; Protocol,Bwd Packet Length Min; FWD Init Win Bytes; Fwd Packet Length Min; Fwd Seg Size Min; Protocol
S,B20,EDA,6,Fwd Packet Length Max,4,Fwd Packet Length Max; Fwd Packet Length Mean; Subflow Fwd Bytes; Total Length of Fwd Packet,Fwd Packet Length Mean; Subflow Fwd Bytes; Total Length of Fwd Packet
S,B20,EDA,7,Bwd Bytes/Bulk Avg,3,Bwd Bulk Rate Avg; Bwd Bytes/Bulk Avg; Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg; Bwd Packet/Bulk Avg
S,B20,EDA,8,Fwd Packet/Bulk Avg,3,Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg; Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg
S,B20,EDA,9,Idle Std,2,Active Std; Idle Std,Active Std
S,B20,EDA,10,CWR Flag Count,2,CWR Flag Count; ECE Flag Count,ECE Flag Count
S,B20,EDA,11,SYN Flag Count,2,FIN Flag Count; SYN Flag Count,FIN Flag Count
S,B20,EDA,12,Flow IAT Min,2,Flow IAT Min; Fwd IAT Min,Fwd IAT Min
S,B20,EDA,13,Fwd Act Data Pkts,2,Fwd Act Data Pkts; Total Bwd packets,Total Bwd packets
S,B20,EDA,14,URG Flag Count,2,Fwd URG Flags; URG Flag Count,Fwd URG Flags
G,B20,EDA,0,Flow IAT Max,11,Active Mean; Active Min; Flow Duration; Flow IAT Max; Flow IAT Std; Fwd IAT Max; Fwd IAT Total; Fwd Packets/s; Idle Max; Idle Mean; Idle Min,Active Mean; Active Min; Flow Duration; Flow IAT Std; Fwd IAT Max; Fwd IAT Total; Fwd Packets/s; Idle Max; Idle Mean; Idle Min
G,B20,EDA,1,PSH Flag Count,9,ACK Flag Count; Bwd Header Length; Bwd IAT Std; Bwd PSH Flags; Bwd Packet Length Std; Down/Up Ratio; Fwd PSH Flags; PSH Flag Count; Total Bwd packets,ACK Flag Count; Bwd Header Length; Bwd IAT Std; Bwd PSH Flags; Bwd Packet Length Std; Down/Up Ratio; Fwd PSH Flags; Total Bwd packets
G,B20,EDA,2,Packet Length Std,9,Bwd Packet Length Max; Bwd Packet Length Mean; Bwd Packet Length Min; Packet Length Max; Packet Length Mean; Packet Length Std; Packet Length Variance; Subflow Bwd Bytes; Total Length of Bwd Packet,Bwd Packet Length Max; Bwd Packet Length Mean; Bwd Packet Length Min; Packet Length Max; Packet Length Mean; Packet Length Variance; Subflow Bwd Bytes; Total Length of Bwd Packet
G,B20,EDA,3,Bwd IAT Max,6,Bwd IAT Max; Bwd IAT Mean; Bwd IAT Total; Fwd IAT Mean; Fwd IAT Std; Total Fwd Packet,Bwd IAT Mean; Bwd IAT Total; Fwd IAT Mean; Fwd IAT Std; Total Fwd Packet
G,B20,EDA,4,Fwd Packet Length Max,5,Fwd Packet Length Max; Fwd Seg Size Min; Protocol; SYN Flag Count; Total Length of Fwd Packet,Fwd Seg Size Min; Protocol; SYN Flag Count; Total Length of Fwd Packet
G,B20,EDA,5,Flow Packets/s,4,Bwd Packets/s; Flow Bytes/s; Flow IAT Mean; Flow Packets/s,Bwd Packets/s; Flow Bytes/s; Flow IAT Mean
G,B20,EDA,6,URG Flag Count,4,FWD Init Win Bytes; Fwd Header Length; Fwd URG Flags; URG Flag Count,FWD Init Win Bytes; Fwd Header Length; Fwd URG Flags
G,B20,EDA,7,Fwd Packet Length Mean,4,Fwd Packet Length Mean; Fwd Packet Length Min; Packet Length Min; Subflow Fwd Bytes,Fwd Packet Length Min; Packet Length Min; Subflow Fwd Bytes
G,B20,EDA,8,Bwd Bytes/Bulk Avg,3,Bwd Bulk Rate Avg; Bwd Bytes/Bulk Avg; Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg; Bwd Packet/Bulk Avg
G,B20,EDA,9,Fwd Packet/Bulk Avg,3,Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg; Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg
G,B20,EDA,10,Idle Std,2,Active Std; Idle Std,Active Std
G,B20,EDA,11,CWR Flag Count,2,CWR Flag Count; ECE Flag Count,ECE Flag Count
