descartada,representante,u_descartada_dado_rep,r_info_con_rep,gauss_ratio_con_rep,gauss_ratio_min_B_con_rep,ksg_r_info_con_rep,pearson_con_rep,mejor_conservada,u_descartada_dado_mejor
Total Length of Bwd Packet,Total Fwd Packet,0.2869822896315816,0.8867065301530652,0.8551337677964432,0.7658638332150295,0.945756707623916,0.9969863460947592,Packet Length Std,0.5715974984570215
Bwd IAT Total,Flow Duration,0.5062275891631584,0.9574032938932856,1.2659350021852398,0.981064885599406,0.9979248145147424,0.9829340918176018,Bwd IAT Max,0.8505964672888063
Fwd IAT Min,Fwd IAT Mean,0.5384950704230392,0.9461784121698544,1.2038272497747626,1.1104933858306305,0.9693839906477596,0.9669432099120604,Fwd IAT Mean,0.5384950704230392
Fwd IAT Max,Flow IAT Max,0.5443497883653179,0.9683905074302824,1.390831383739549,1.1006469648364705,0.9994563694805771,0.9985417457094192,Fwd IAT Mean,0.7911194100636857
Bwd IAT Min,Bwd IAT Mean,0.5487003989402505,0.9545677158050488,1.2933298130537616,1.234834950400494,0.9764576656353506,0.95488480807208,Bwd IAT Mean,0.5487003989402505
Fwd IAT Total,Flow Duration,0.5867771705803158,0.9746247067696852,1.4993033806020994,1.2112676039936676,0.9998606408111052,0.999454494728665,Fwd IAT Mean,0.7790361528610693
Bwd Header Length,Total Fwd Packet,0.5975434913842268,0.9631913571946316,1.5268926377369123,1.3406817966670357,0.9782111859596802,0.9983966298370818,Total Fwd Packet,0.5975434913842268
ACK Flag Count,Total Fwd Packet,0.6182294296713468,0.9437072179493036,1.5047266226707987,1.3933841873810926,0.9685228767294004,0.9996853949435004,Total Fwd Packet,0.6182294296713468
Bwd Packet Length Mean,Packet Length Mean,0.6234906908962674,0.9850583384323388,1.7106715002557007,1.5098076277753265,0.9987617390887726,0.9676162765733944,Packet Length Mean,0.6234906908962674
Fwd Header Length,Total Fwd Packet,0.644967789378858,0.9734299464829794,1.6980131911395862,1.485266107827964,0.9941413264215828,0.9994851144525624,Total Fwd Packet,0.644967789378858
Bwd Packet Length Max,Packet Length Std,0.6597676091697724,0.987834684567576,1.8230647236689093,1.588474103679249,0.99834937420254,0.98334995161876,Packet Length Std,0.6597676091697724
Subflow Bwd Bytes,Packet Length Mean,0.6648129574962728,0.9880742185733902,1.820415140850032,1.589869709645411,0.9988401382120244,0.987610876376692,Packet Length Mean,0.6648129574962728
Total Bwd packets,Total Fwd Packet,0.6665805015300137,0.9610972051693508,1.5323269544688016,1.4554279666516836,0.9734658763247926,0.9990708247678493,Total Fwd Packet,0.6665805015300137
Subflow Fwd Bytes,Fwd Packet Length Mean,0.6720629287584546,0.9885008801374172,1.835039458769581,1.583791313313436,0.9979905984646312,0.9746485263269048,Fwd Packet Length Mean,0.6720629287584546
Packet Length Max,Packet Length Std,0.6826248556149478,0.989308777835464,1.88086609673444,1.6393204296525716,0.9986567731126385,0.9882957222435792,Packet Length Std,0.6826248556149478
Bwd Packet Length Std,Packet Length Std,0.700613451914013,0.9353265870093286,1.5640905134808665,1.3758559146094664,0.9869785831170792,0.982028325520952,Packet Length Std,0.700613451914013
Idle Mean,Flow IAT Max,0.8254064894801278,0.8656744585947149,1.563168733065189,1.3448482315019812,0.9809038224026406,0.9854029267816374,Flow IAT Max,0.8254064894801278
Bwd PSH Flags,PSH Flag Count,0.8434109733784296,0.9294667787558482,1.756317523152939,1.698721828136634,0.9469978924977572,0.955595534942235,PSH Flag Count,0.8434109733784296
Fwd Packets/s,Flow Packets/s,0.8455833057269003,0.9968419412491322,2.3296097186841425,2.081281936241885,0.9999982469213844,0.967304874805885,Flow Packets/s,0.8455833057269003
Idle Max,Flow IAT Max,0.8681990573977577,0.8756382843050337,1.6442080942250843,1.4813173690847434,0.9954139581071304,0.9983349209907558,Flow IAT Max,0.8681990573977577
Bwd Packet/Bulk Avg,Bwd Bytes/Bulk Avg,0.8762633760075276,0.7633669959778233,1.7201761130129274,1.7201761130129274,0.8137229882074626,0.978953752079924,Bwd Bytes/Bulk Avg,0.8762633760075276
Packet Length Variance,Packet Length Std,0.9842954718408145,0.998010954486758,2.7186910249842877,2.303662565679786,0.9999975357887814,0.9393770217428484,Packet Length Std,0.9842954718408145
Fwd URG Flags,URG Flag Count,0.9890804296430814,0.0325348544772166,2.7777279719610544,2.7777279719610544,0.0485292309940753,0.9996455668800104,URG Flag Count,0.9890804296430814
