cluster,miembros,grupos_P,L_grupos_P,L_grupos_resueltos,L_se_amplia_con,L_n_conservadas_del_cluster,Gcons_grupos_P,Gcons_grupos_resueltos,Gcons_se_amplia_con,Gcons_n_conservadas_del_cluster,P_n_conservadas_del_cluster
0,Bwd Packet Length Max; Bwd Packet Length Mean; Bwd Packet Length Std; Packet Length Max; Packet Length Mean; Packet Length Std; Packet Length Variance; Subflow Bwd Bytes,"{Bwd Packet Length Max, Bwd Packet Length Std, Packet Length Max, Packet Length Std} | {Bwd Packet Length Mean, Packet Length Mean, Subflow Bwd Bytes}","{Bwd Packet Length Max, Bwd Packet Length Std, Packet Length Max, Packet Length Std}: se parte (3/6 pares pasan), min=0.9296 | {Bwd Packet Length Mean, Packet Length Mean, Subflow Bwd Bytes}: sigue siendo clique, min=0.9851","{Bwd Packet Length Max, Bwd Packet Length Mean, Packet Length Max, Packet Length Mean, Packet Length Std, Packet Length Variance, Subflow Bwd Bytes, Total Length of Bwd Packet} -> Packet Length Std",Total Length of Bwd Packet,2,"{Bwd Packet Length Max, Bwd Packet Length Std, Packet Length Max, Packet Length Std}: sigue siendo clique, min=1.3169 | {Bwd Packet Length Mean, Packet Length Mean, Subflow Bwd Bytes}: sigue siendo clique, min=1.5098","{Bwd Packet Length Max, Bwd Packet Length Mean, Packet Length Mean, Subflow Bwd Bytes} -> Packet Length Mean | {Packet Length Max, Packet Length Std, Packet Length Variance, Total Length of Bwd Packet} -> Packet Length Std",Total Length of Bwd Packet,3,2
1,ACK Flag Count; Bwd Header Length; Fwd Header Length; Total Bwd packets; Total Fwd Packet; Total Length of Bwd Packet,"{ACK Flag Count, Bwd Header Length, Fwd Header Length, Total Bwd packets, Total Fwd Packet, Total Length of Bwd Packet}","{ACK Flag Count, Bwd Header Length, Fwd Header Length, Total Bwd packets, Total Fwd Packet, Total Length of Bwd Packet}: se parte (8/15 pares pasan), min=0.8867","{Bwd Packet Length Max, Bwd Packet Length Mean, Packet Length Max, Packet Length Mean, Packet Length Std, Packet Length Variance, Subflow Bwd Bytes, Total Length of Bwd Packet} -> Packet Length Std | {Bwd Header Length, Fwd Header Length, Total Bwd packets, Total Fwd Packet} -> Total Fwd Packet",Bwd Packet Length Max; Bwd Packet Length Mean; Packet Length Max; Packet Length Mean; Packet Length Std; Packet Length Variance; Subflow Bwd Bytes,2,"{ACK Flag Count, Bwd Header Length, Fwd Header Length, Total Bwd packets, Total Fwd Packet, Total Length of Bwd Packet}: se parte (12/15 pares pasan), min=0.7659","{Bwd IAT Max, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Total, Fwd IAT Max, Fwd IAT Total, Total Fwd Packet} -> Bwd IAT Max | {ACK Flag Count, Bwd PSH Flags, Fwd PSH Flags, PSH Flag Count} -> PSH Flag Count | {Bwd Header Length, Fwd Act Data Pkts, Fwd Header Length, Total Bwd packets} -> Fwd Act Data Pkts | {Packet Length Max, Packet Length Std, Packet Length Variance, Total Length of Bwd Packet} -> Packet Length Std",Bwd IAT Max; Bwd IAT Mean; Bwd IAT Std; Bwd IAT Total; Bwd PSH Flags; Fwd Act Data Pkts; Fwd IAT Max; Fwd IAT Total; Fwd PSH Flags; PSH Flag Count; Packet Length Max; Packet Length Std; Packet Length Variance,0,1
2,Bwd IAT Max; Flow IAT Max; Fwd IAT Max; Idle Max; Idle Mean; Idle Min,"{Flow IAT Max, Fwd IAT Max, Idle Max, Idle Mean}","{Flow IAT Max, Fwd IAT Max, Idle Max, Idle Mean}: se parte (1/6 pares pasan), min=0.8631","{Bwd IAT Max, Bwd IAT Mean, Bwd IAT Total, Flow IAT Std, Fwd IAT Max, Fwd IAT Mean, Fwd IAT Total} -> Bwd IAT Max | {Bwd Packets/s, Flow Bytes/s, Flow Duration, Flow IAT Max, Flow IAT Mean, Flow Packets/s, Fwd Packets/s} -> Flow Packets/s",Bwd IAT Mean; Bwd IAT Total; Bwd Packets/s; Flow Bytes/s; Flow Duration; Flow IAT Mean; Flow IAT Std; Flow Packets/s; Fwd IAT Mean; Fwd IAT Total; Fwd Packets/s,4,"{Flow IAT Max, Fwd IAT Max, Idle Max, Idle Mean}: sigue siendo clique, min=1.1006","{Bwd IAT Max, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Total, Fwd IAT Max, Fwd IAT Total, Total Fwd Packet} -> Bwd IAT Max | {Bwd Packets/s, Flow Bytes/s, Flow IAT Max, Flow IAT Mean, Flow Packets/s, Fwd Packets/s} -> Flow Packets/s | {Flow Duration, Flow IAT Std, Idle Max, Idle Mean, Idle Min} -> Flow IAT Std",Bwd IAT Mean; Bwd IAT Std; Bwd IAT Total; Bwd Packets/s; Flow Bytes/s; Flow Duration; Flow IAT Mean; Flow IAT Std; Flow Packets/s; Fwd IAT Total; Fwd Packets/s; Total Fwd Packet,1,3
3,Bwd IAT Mean; Bwd IAT Min; Flow IAT Mean; Flow IAT Std; Fwd IAT Mean; Fwd IAT Min,"{Bwd IAT Mean, Bwd IAT Min} | {Fwd IAT Mean, Fwd IAT Min}","{Bwd IAT Mean, Bwd IAT Min}: sigue siendo clique, min=0.9546 | {Fwd IAT Mean, Fwd IAT Min}: se parte (0/1 pares pasan), min=0.9462","{Bwd IAT Max, Bwd IAT Mean, Bwd IAT Total, Flow IAT Std, Fwd IAT Max, Fwd IAT Mean, Fwd IAT Total} -> Bwd IAT Max | {Bwd Packets/s, Flow Bytes/s, Flow Duration, Flow IAT Max, Flow IAT Mean, Flow Packets/s, Fwd Packets/s} -> Flow Packets/s",Bwd IAT Max; Bwd IAT Total; Bwd Packets/s; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow Packets/s; Fwd IAT Max; Fwd IAT Total; Fwd Packets/s,2,"{Bwd IAT Mean, Bwd IAT Min}: sigue siendo clique, min=1.2348 | {Fwd IAT Mean, Fwd IAT Min}: sigue siendo clique, min=1.1105","{Bwd IAT Max, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Total, Fwd IAT Max, Fwd IAT Total, Total Fwd Packet} -> Bwd IAT Max | {Bwd Packets/s, Flow Bytes/s, Flow IAT Max, Flow IAT Mean, Flow Packets/s, Fwd Packets/s} -> Flow Packets/s | {Flow Duration, Flow IAT Std, Idle Max, Idle Mean, Idle Min} -> Flow IAT Std",Bwd IAT Max; Bwd IAT Std; Bwd IAT Total; Bwd Packets/s; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow Packets/s; Fwd IAT Max; Fwd IAT Total; Fwd Packets/s; Idle Max; Idle Mean; Idle Min; Total Fwd Packet,4,4
4,Fwd Packet Length Mean; Subflow Fwd Bytes,"{Fwd Packet Length Mean, Subflow Fwd Bytes}","{Fwd Packet Length Mean, Subflow Fwd Bytes}: sigue siendo clique, min=0.9885","{Fwd Packet Length Max, Fwd Packet Length Mean, Fwd Packet Length Min, Packet Length Min, Total Length of Fwd Packet} -> Fwd Packet Length Max",Fwd Packet Length Max; Fwd Packet Length Min; Packet Length Min; Total Length of Fwd Packet,1,"{Fwd Packet Length Mean, Subflow Fwd Bytes}: sigue siendo clique, min=1.5838","{Fwd Packet Length Max, Fwd Packet Length Mean, Subflow Fwd Bytes} -> Fwd Packet Length Mean",Fwd Packet Length Max,1,1
5,Bwd IAT Total; Flow Duration; Fwd IAT Total,"{Bwd IAT Total, Flow Duration, Fwd IAT Total}","{Bwd IAT Total, Flow Duration, Fwd IAT Total}: sigue siendo clique, min=0.9574","{Bwd IAT Max, Bwd IAT Mean, Bwd IAT Total, Flow IAT Std, Fwd IAT Max, Fwd IAT Mean, Fwd IAT Total} -> Bwd IAT Max | {Bwd Packets/s, Flow Bytes/s, Flow Duration, Flow IAT Max, Flow IAT Mean, Flow Packets/s, Fwd Packets/s} -> Flow Packets/s",Bwd IAT Max; Bwd IAT Mean; Bwd Packets/s; Flow Bytes/s; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Flow Packets/s; Fwd IAT Max; Fwd IAT Mean; Fwd Packets/s,0,"{Bwd IAT Total, Flow Duration, Fwd IAT Total}: se parte (2/3 pares pasan), min=0.9811","{Bwd IAT Max, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Total, Fwd IAT Max, Fwd IAT Total, Total Fwd Packet} -> Bwd IAT Max | {Flow Duration, Flow IAT Std, Idle Max, Idle Mean, Idle Min} -> Flow IAT Std",Bwd IAT Max; Bwd IAT Mean; Bwd IAT Std; Flow IAT Std; Fwd IAT Max; Idle Max; Idle Mean; Idle Min; Total Fwd Packet,0,1
6,Fwd URG Flags; URG Flag Count,"{Fwd URG Flags, URG Flag Count}","{Fwd URG Flags, URG Flag Count}: se parte (0/1 pares pasan), min=0.0325",(ninguno),,2,"{Fwd URG Flags, URG Flag Count}: sigue siendo clique, min=2.7777",(ninguno),,2,1
7,Bwd Bytes/Bulk Avg; Bwd Packet/Bulk Avg,"{Bwd Bytes/Bulk Avg, Bwd Packet/Bulk Avg}","{Bwd Bytes/Bulk Avg, Bwd Packet/Bulk Avg}: se parte (0/1 pares pasan), min=0.7634",(ninguno),,2,"{Bwd Bytes/Bulk Avg, Bwd Packet/Bulk Avg}: sigue siendo clique, min=1.7202","{Bwd Bulk Rate Avg, Bwd Bytes/Bulk Avg, Bwd Packet/Bulk Avg} -> Bwd Bytes/Bulk Avg",Bwd Bulk Rate Avg,1,1
8,Flow Packets/s; Fwd Packets/s,"{Flow Packets/s, Fwd Packets/s}","{Flow Packets/s, Fwd Packets/s}: sigue siendo clique, min=0.9968","{Bwd Packets/s, Flow Bytes/s, Flow Duration, Flow IAT Max, Flow IAT Mean, Flow Packets/s, Fwd Packets/s} -> Flow Packets/s",Bwd Packets/s; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow IAT Mean,1,"{Flow Packets/s, Fwd Packets/s}: sigue siendo clique, min=2.0813","{Bwd Packets/s, Flow Bytes/s, Flow IAT Max, Flow IAT Mean, Flow Packets/s, Fwd Packets/s} -> Flow Packets/s",Bwd Packets/s; Flow Bytes/s; Flow IAT Max; Flow IAT Mean,1,1
9,Bwd PSH Flags; PSH Flag Count,"{Bwd PSH Flags, PSH Flag Count}","{Bwd PSH Flags, PSH Flag Count}: se parte (0/1 pares pasan), min=0.9295",(ninguno),,2,"{Bwd PSH Flags, PSH Flag Count}: sigue siendo clique, min=1.6987","{ACK Flag Count, Bwd PSH Flags, Fwd PSH Flags, PSH Flag Count} -> PSH Flag Count",ACK Flag Count; Fwd PSH Flags,1,1
