feature_a,feature_b,pearson_abs,spearman_abs,r_info,r_info_B10,r_info_B50,ksg_r_info,gauss_ratio,gauss_ratio_B10,gauss_ratio_B50,nmi_sqrt,nmi_max,u_x_given_y,u_y_given_x,H_x,H_y,mi_corr_bits,mi_ref_gauss_bits,g_stat,g_dof,g_pvalue
Total Fwd Packet,Total Bwd packets,0.9990708247678493,0.932045313619187,0.9610972051693508,0.948778430594698,0.9687482065173454,0.9734658763247926,1.5323269544688016,1.4554279666516836,1.6226469931230112,0.6610885034866932,0.6556417543554525,0.6556417543554525,0.6665805015300137,2.831059274364596,2.784600907269565,1.8561606693286776,1.211334607092477,5403742.6822544765,81,0.0
Total Fwd Packet,Total Length of Bwd Packet,0.9969863460947592,0.7439833208049818,0.8867065301530652,0.8550642466274117,0.9090800797492996,0.945756707623916,0.8551337677964432,0.7658638332150295,0.948280170364528,0.3358922632103548,0.2869822896315816,0.3931378923396755,0.2869822896315816,2.831059274364596,3.87827652236386,1.1129966762123884,1.3015468668491723,3240208.5357360104,135,0.0
Total Fwd Packet,Fwd Header Length,0.9994851144525624,0.8730850207703915,0.9734299464829794,0.9555674559631188,0.9852180702621848,0.9941413264215828,1.6980131911395862,1.485266107827964,1.973375975787999,0.6960574431179866,0.644967789378858,0.7511940473593995,0.644967789378858,2.831059274364596,3.297335013694899,2.1266748746243054,1.2524489713752058,6191276.424061871,108,0.0
Total Fwd Packet,Bwd Header Length,0.9983966298370818,0.8216910042458224,0.9631913571946316,0.9430107075929628,0.9703724299753342,0.9782111859596802,1.5268926377369123,1.3406817966670357,1.597684385581603,0.632484490966182,0.5975434913842268,0.669468644677317,0.5975434913842268,2.831059274364596,3.171828398665149,1.8953054154100144,1.2412826996265738,5517702.7174394885,99,0.0
Total Fwd Packet,ACK Flag Count,0.9996853949435004,0.7840547854238514,0.9437072179493036,0.9235711807927272,0.959529895686387,0.9685228767294004,1.5047266226707987,1.3933841873810926,1.666875093903102,0.590368645677518,0.5637634202959079,0.5637634202959079,0.6182294296713468,2.831059274364596,2.5816429677647355,1.5960476595762354,1.0606894538380316,4646489.392582462,81,0.0
Total Bwd packets,Total Length of Bwd Packet,0.9944234093893276,0.8053741727116684,0.8995088538623063,0.8739033588363929,0.9200368032121492,0.9548949101735364,0.9300901376892876,0.8507242157133396,1.0285989013153007,0.3635194818373437,0.3080277086267801,0.4290082027503741,0.3080277086267801,2.784600907269565,3.87827652236386,1.1946166306047774,1.2844095235464794,3477824.40518191,135,0.0
Total Bwd packets,Fwd Header Length,0.9987781572990032,0.8064157820019808,0.9533672977110262,0.9432348008542334,0.9637553938167278,0.9758164089632746,1.3972061098899344,1.354508650062003,1.494073971076277,0.570361161061796,0.5241431174480013,0.6206546327111376,0.5241431174480013,2.784600907269565,3.297335013694899,1.7282754533484923,1.2369509703079085,5031437.196290593,108,0.0
Total Bwd packets,Bwd Header Length,0.9995582764001788,0.8770588691445175,0.9769070851498024,0.9561819414761809,0.9870445744293218,0.9945498965064316,1.815595652626108,1.5090517353349309,2.0325869358700177,0.7492074094339335,0.7019864063794169,0.799604860221926,0.7019864063794169,2.784600907269565,3.171828398665149,2.2265804192311287,1.226363599191574,6482126.168109634,99,0.0
Total Bwd packets,ACK Flag Count,0.999824854103762,0.7872388371880846,0.9445059004438804,0.9151610290330116,0.9604066372988734,0.9694134174723404,1.5322367752717634,1.333893371200511,1.7180092974599337,0.5990070737338193,0.5767645526295674,0.5767645526295674,0.6221073620895737,2.784600907269565,2.5816429677647355,1.606059096533218,1.0481794474932644,4675635.161097595,81,0.0
Total Length of Bwd Packet,Fwd Header Length,0.99583426550203,0.5685956962625829,0.9225596815075804,0.904342952630658,0.941838672285573,0.9739840849145736,1.0100139873848768,0.9447425397129284,1.130248654385262,0.3841892237712961,0.3542479376839447,0.3542479376839447,0.4166611685222539,3.87827652236386,3.297335013694899,1.3738714598154589,1.3602499341347538,3999679.537451428,180,0.0
Total Length of Bwd Packet,Bwd Header Length,0.9938529061687272,0.6215261854421201,0.9349816864162492,0.9157580012395844,0.9512440125205764,0.9773808782703884,1.1135364536548435,1.0188751108584808,1.2323806719067325,0.4263509118949524,0.3855694822063966,0.3855694822063966,0.4714457664892489,3.87827652236386,3.171828398665149,1.4953450705810585,1.3428793154216412,4353319.255234611,165,0.0
Total Length of Bwd Packet,ACK Flag Count,0.9957486596407396,0.5600712256657281,0.9212347791478976,0.9016567471960424,0.9354593990064488,0.9570115128757288,1.2287306517766776,1.1504832193594392,1.3192927938148038,0.4304786914645113,0.3512209098745125,0.3512209098745125,0.5276220708818502,3.87827652236386,2.5816429677647355,1.3621318089295953,1.1085682667393597,3965502.510852944,135,0.0
Fwd Header Length,Bwd Header Length,0.9988161340418538,0.9296958808527108,0.9790444451760778,0.968206606327872,0.9849572566520788,0.992466881441607,1.745475277354099,1.6116307671425467,1.870052629944157,0.7099192810252062,0.6962773632296535,0.6962773632296535,0.723828480124114,3.297335013694899,3.171828398665149,2.2958597290202976,1.3153206801648352,6683815.369637786,132,0.0
Fwd Header Length,ACK Flag Count,0.9993132503520296,0.9233985781474467,0.9509244674004322,0.9302925882777427,0.9655083397284544,0.9811079305186354,1.5371001032894605,1.3929176844533595,1.705873479134791,0.5800425220960231,0.5132469596930753,0.5132469596930753,0.655531067618431,3.297335013694899,2.5816429677647355,1.6923471708684317,1.1009999721207069,4926841.081985565,108,0.0
