feature_a,feature_b,n_medidas_de_7,L_B10,L_B20,L_B50,L_ksg,G_B10,G_B20,G_B50,pearson_abs,spearman_abs,r_info,r_info_B10,r_info_B50,ksg_r_info,gauss_ratio,gauss_ratio_B10,gauss_ratio_B50,nmi_sqrt,nmi_max,u_x_given_y,u_y_given_x,H_x,H_y,mi_corr_bits,mi_ref_gauss_bits,g_stat,g_dof,g_pvalue,benign_pearson,benign_r_info,benign_gauss_ratio
Flow Packets/s,Flow IAT Mean,7,True,True,True,True,True,True,True,0.0404379368829646,0.9958812641841072,0.9947138280918608,0.9871753183219608,0.9987772965439068,0.9999269721494536,2.0937934662869364,1.8505980290947013,2.643558971560965,0.7597916444890193,0.7597805573221612,0.7598027318176679,0.7597805573221612,4.32176595458307,4.321892087028573,3.2836895785688074,1.568296793089145,9559632.32288726,361,0.0,0.0383932770316272,0.9949825896302328,2.135009475579328
Flow Packets/s,Bwd Packets/s,7,True,True,True,True,True,True,True,0.4815020254356825,0.890922364451001,0.9939310012680448,0.9840805968267669,0.9989184785587744,0.999997442033671,2.0296633337970404,1.741643750934724,2.7002026428576493,0.7368083747155383,0.736798705109951,0.7368180444480278,0.736798705109951,4.32176595458307,4.321879391390578,3.184355139217961,1.5689080480459554,9270445.207457148,361,0.0,0.3579079291011971,0.9940852556080734,2.058707657660389
Flow IAT Mean,Bwd Packets/s,7,True,True,True,True,True,True,True,0.0438254734812311,0.8870739280472306,0.9918394022533008,0.98096307101203,0.99786826055274,0.9999211911245052,1.894866017161462,1.6526904333003585,2.4024772728103674,0.6875480383031168,0.6875470284598315,0.6875470284598315,0.6875490481478856,4.321892087028573,4.321879391390578,2.971504061760555,1.5681868980963165,8650783.089179188,361,0.0,0.039651252575795,0.9914955769473214,1.8766458467555815
Flow Duration,Flow IAT Max,7,True,True,True,True,True,True,True,0.6604142298460348,0.9859896947777512,0.9912521778672392,0.9789145548462426,0.9973031526731015,0.9999586254747588,1.864752170200131,1.6022741736904786,2.297575176996086,0.6760240149848651,0.6760094176319527,0.6760094176319527,0.6760386126529843,4.321821786703103,4.321635146952657,2.9215922291382497,1.566745584655732,8505477.402690185,361,0.0,0.6451843090783085,0.9904279949871664,1.8226950537889528
Bwd IAT Mean,Bwd IAT Max,7,True,True,True,True,True,True,True,0.7841121079513093,0.9949181233129624,0.9905465201947676,0.9844191846908728,0.993774777823671,0.997911720102622,2.0942882491256585,1.9516890590463527,2.2475421331169323,0.8096802867019289,0.8096052077811222,0.809755372585196,0.8096052077811222,3.539201103388576,3.539857551043754,2.865887108128353,1.3684301143000863,8343306.021195394,169,0.0,0.7685421555738484,0.9902463354520348,2.0339031370966163
Total Length of Fwd Packet,Fwd Packet Length Max,7,True,True,True,True,True,True,True,0.2141837234305871,0.8876141586441983,0.9878501115933884,0.9693872888162272,0.9963428361205552,0.9996975779089394,1.8076045090521031,1.4416195277760946,2.320272303300181,0.6585740674418948,0.6574349326806365,0.6574349326806365,0.6597151759771952,4.085350413473319,4.071229785005712,2.6858520740586416,1.4858626766023535,7819179.519659567,289,0.0,0.1929516085243749,0.987080067076903,1.7156203913488135
Fwd Packet Length Min,Packet Length Min,7,True,True,True,True,True,True,True,0.839400903528461,0.9984823511935657,0.9854886827352408,0.971845217376597,0.9933500894372964,0.9961716616314245,2.509742005785629,2.1826993288640524,2.9741368034767075,0.9930087595038756,0.9920690775968932,0.9920690775968932,0.99394933147195,2.579045996800042,2.5741672156832505,2.5585917831253777,1.0194640633288747,7448693.345032822,100,0.0,0.8238386294117177,0.993241241891714,2.596264744590905
Flow Duration,Flow Packets/s,7,True,True,True,True,True,True,True,0.072036749603531,0.9586207452934238,0.9850246753127254,0.9705436361247564,0.9948439687193532,0.9998961191939856,1.6175598213688442,1.4355159056303988,2.0121887171798414,0.5868063259533438,0.586802535567176,0.586802535567176,0.5868101163639952,4.321821786703103,4.32176595458307,2.536055982706844,1.5678282491962066,7383086.057575081,361,0.0,0.0705823814618146,0.9849469161342712,1.6276651292225677
Flow Packets/s,Flow IAT Max,7,True,True,True,True,True,True,True,0.0612394620693543,0.9721948099679903,0.984409220476762,0.9698371612828658,0.9940002137076132,0.9994878428545124,1.5991856763124517,1.4236062136779006,1.9458666167628813,0.5801481965867102,0.5801394167978557,0.5801394167978557,0.5801569765084374,4.32176595458307,4.321635146952657,2.5072267804286503,1.5678146806630002,7299157.121131036,361,0.0,0.0575885854430116,0.982851965388483,1.5680061858735606
Fwd Packet Length Max,Fwd Packet Length Mean,7,True,True,True,True,True,True,True,0.7919108017848584,0.8462761394974172,0.9841849642390306,0.9622844320166588,0.995661001378423,0.9994597798723204,1.6804805107741774,1.3366902566618513,2.2391656271527776,0.6123738979656403,0.6114195159679265,0.6133297696851798,0.6114195159679265,4.071229785005712,4.083949499747377,2.497006426372997,1.485888357742784,7269403.143282631,289,0.0,0.7874044668285444,0.9877539307574824,1.740071740186418
Flow IAT Std,Flow IAT Max,7,True,True,True,True,True,True,True,0.8890806193896883,0.8468655874617848,0.9825632186088068,0.9636412820229738,0.990718808946293,0.9995972506922046,1.6937283703503754,1.4130063056975568,1.9497875771170987,0.6008411066906584,0.5616341260780192,0.6427850779122807,0.5616341260780192,3.7760331756146313,4.321635146952657,2.4271777789868074,1.4330383912059677,7066114.684174551,285,0.0,0.8816940105305514,0.9817615110447476,1.6358021213045135
Flow IAT Max,Bwd Packets/s,7,True,True,True,True,True,True,True,0.0663683530146888,0.8649378344587721,0.9813887561373492,0.9625942684238656,0.9932859592733922,0.99953976038167,1.518729179735654,1.316719520282967,1.8989107980915363,0.5508372457294802,0.5508216806451552,0.5508528112536424,0.5508216806451552,4.321635146952657,4.321879391390578,2.3805848699114187,1.5674847771910043,6930471.2048026165,361,0.0,0.0594730711512867,0.9798143465969004,1.481627583139013
Flow Duration,Bwd Packets/s,7,True,True,True,True,True,True,True,0.0780674259126932,0.8527271344412092,0.980561748744626,0.9606278978946532,0.9949377451468384,0.999937692193511,1.4986602404371128,1.2915534885767426,2.0226738035017298,0.5436384226640667,0.5436347996770566,0.5436420456752217,0.5436347996770566,4.321821786703103,4.321879391390578,2.3495240371670163,1.5677496298171845,6840045.440254982,361,0.0,0.0728875114316218,0.982353741801916,1.542801926071508
Flow IAT Mean,Flow IAT Max,7,True,True,True,True,True,True,True,0.7284283947204826,0.9573324622558278,0.97982505686118,0.9634550237754836,0.9930708602110676,0.9998842691253962,1.4822739163045182,1.3287732594039778,1.8832449028663,0.5375026309832184,0.5374866532567136,0.5374866532567136,0.537518609184689,4.321892087028573,4.321635146952657,2.322959313593661,1.5671592733582396,6762708.961259577,361,0.0,0.7192408913330368,0.9807005997543722,1.5023060793703782
Flow Duration,Flow IAT Mean,7,True,True,True,True,True,True,True,0.4453148356989214,0.9407252542051368,0.9792417901505204,0.961420691498294,0.9941538634191291,0.9999862478473271,1.469257079384063,1.3021469625480713,1.9575313825049887,0.5327832869554618,0.5327789537849389,0.5327876201612273,0.5327789537849389,4.321821786703103,4.321892087028573,2.302613144498489,1.5671955417521508,6703476.23201545,361,0.0,0.4236904519070303,0.9837717204015292,1.581263779074112
Flow Packets/s,Flow IAT Std,7,True,True,True,True,True,True,True,0.0506871186593614,0.7705672542639438,0.9791807900639896,0.9634051510744456,0.9914028115075052,0.99672656230418,1.6047749230240929,1.4088524533792788,1.9868151768608917,0.5694783937748026,0.5323098837722045,0.5323098837722045,0.6092421930589432,4.32176595458307,3.7760331756146313,2.300518732974784,1.4335460381195435,6697378.882183688,285,0.0,0.0478510663219784,0.9808539564295728,1.612007571130733
