grupo_P,feature_a,feature_b,pearson_menos_rinfo,min_H_bits,linfoot_aplicable,G_consenso,L_B10,L_B20,L_B50,L_ksg,G_B10,G_B20,G_B50,pearson_abs,spearman_abs,r_info,r_info_B10,r_info_B50,ksg_r_info,gauss_ratio,gauss_ratio_B10,gauss_ratio_B50,nmi_sqrt,nmi_max,u_x_given_y,u_y_given_x,H_x,H_y,mi_corr_bits,mi_ref_gauss_bits,g_stat,g_dof,g_pvalue
URG Flag Count,Fwd URG Flags,URG Flag Count,0.9671107124027938,0.0007723970866196,False,True,False,False,False,False,True,True,True,0.9996455668800104,0.9946667330466346,0.0325348544772166,0.0325348544772166,0.0325348544772166,0.0485292309940753,2.7777279719610544,2.7777279719610544,2.7777279719610544,0.9841557205572856,0.979255531984537,0.9890804296430814,0.979255531984537,0.0007723970866196,0.0007801465678121,0.0007639628422887,0.0002750315545655,2224.084739402156,16,0.0
Bwd Bytes/Bulk Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,0.21558675610210065,0.7195005868889557,False,True,False,False,False,False,True,True,True,0.978953752079924,0.997244529980854,0.7633669959778233,0.7438333361698706,0.7875249083260611,0.8137229882074626,1.7201761130129274,1.9215205818494,1.7850672385954849,0.8325804615173223,0.7910751993980888,0.7910751993980888,0.8762633760075276,0.7969811388176821,0.7195005868889557,0.6304720133067138,0.3665159680670299,1835459.9278868383,6,0.0
Flow IAT Max,Fwd IAT Max,Idle Mean,0.12095854602536205,1.20940239447707,False,True,False,False,False,True,True,True,True,0.9840091032825794,0.7289600867297681,0.8630505572572174,0.8072362239902072,0.8988586388644494,0.9762618668435372,1.5428278219133718,1.303788532492221,1.76527825941238,0.4670457744391059,0.2677424890518221,0.2677424890518221,0.8147072815895287,3.680061915617628,1.20940239447707,0.9853089371522804,0.6386382998527521,2868477.953916696,56,0.0
Flow IAT Max,Flow IAT Max,Idle Mean,0.11972846818692251,1.20940239447707,False,True,False,False,False,True,True,True,True,0.9854029267816374,0.7272577915021016,0.8656744585947149,0.8130379779989686,0.9049533922272928,0.9809038224026406,1.563168733065189,1.3448482315019812,1.8288377375515243,0.4366457542911608,0.2309886306570976,0.2309886306570976,0.8254064894801278,4.321635146952657,1.20940239447707,0.9982485847941792,0.6386057779167138,2906148.4677958367,76,0.0
Flow IAT Max,Fwd IAT Max,Idle Max,0.13035138081789976,1.2094023944241217,False,True,False,False,False,True,True,True,True,0.9968785716491402,0.7293480158203006,0.8665271908312404,0.8129512903132596,0.9146490400739576,0.985801963681101,1.5697644166526197,1.3370933321356615,1.9380270632429144,0.4752005923721089,0.2724173868195702,0.2724173868195702,0.828932417373078,3.680061915617628,1.2094023944241217,1.0025128503867755,0.6386390465676012,2918562.799363113,56,0.0
Flow IAT Max,Flow IAT Max,Idle Max,0.12269663668572217,1.2094023944241217,False,True,False,False,False,True,True,True,True,0.9983349209907558,0.7279102861207182,0.8756382843050337,0.8344304247069869,0.9316042072122288,0.9954139581071304,1.6442080942250843,1.4813173690847434,2.16611393898275,0.4592833193288665,0.2429640594704086,0.2429640594704086,0.8681990573977577,4.321635146952657,1.2094023944241217,1.0500020188536134,0.6386065258658635,3056815.511442093,76,0.0
Flow IAT Max,Idle Mean,Idle Max,0.10549997170942493,1.2094023944241217,False,True,False,False,False,True,True,True,True,0.9870567434623932,0.9991036057175366,0.8815567717529683,0.8316313328663795,0.9091544231994264,0.9809076475493038,1.9595573785439948,1.7118576434951231,2.1428480792534463,0.8954032036501138,0.8954032036305132,0.8954032036305132,0.8954032036697146,1.20940239447707,1.2094023944241217,1.0829027784931822,0.5526262156700963,3152597.758141261,16,0.0
Total Fwd Packet,Total Fwd Packet,Total Length of Bwd Packet,0.110279815941694,2.831059274364596,True,False,False,False,False,False,False,False,False,0.9969863460947592,0.7439833208049818,0.8867065301530652,0.8550642466274117,0.9090800797492996,0.945756707623916,0.8551337677964432,0.7658638332150295,0.948280170364528,0.3358922632103548,0.2869822896315816,0.3931378923396755,0.2869822896315816,2.831059274364596,3.87827652236386,1.1129966762123884,1.3015468668491723,3240208.5357360104,135,0.0
Total Fwd Packet,Total Bwd packets,Total Length of Bwd Packet,0.09491455552702133,2.784600907269565,True,False,False,False,False,True,False,False,True,0.9944234093893276,0.8053741727116684,0.8995088538623063,0.8739033588363929,0.9200368032121492,0.9548949101735364,0.9300901376892876,0.8507242157133396,1.0285989013153007,0.3635194818373437,0.3080277086267801,0.4290082027503741,0.3080277086267801,2.784600907269565,3.87827652236386,1.1946166306047774,1.2844095235464794,3477824.40518191,135,0.0
Total Fwd Packet,Total Length of Bwd Packet,ACK Flag Count,0.07451388049284191,2.5816429677647355,True,True,False,False,False,True,True,True,True,0.9957486596407396,0.5600712256657281,0.9212347791478976,0.9016567471960424,0.9354593990064488,0.9570115128757288,1.2287306517766776,1.1504832193594392,1.3192927938148038,0.4304786914645113,0.3512209098745125,0.3512209098745125,0.5276220708818502,3.87827652236386,2.5816429677647355,1.3621318089295953,1.1085682667393597,3965502.510852944,135,0.0
