fuera,mejor_conservada,u_fuera_dado_mejor,r_info,gauss_ratio_min_B,robusto_con_mejor
Fwd IAT Min,Fwd IAT Mean,0.5384950704230392,0.9461784121698544,1.1104933858306305,False
Bwd IAT Min,Bwd IAT Mean,0.5487003989402505,0.9545677158050488,1.234834950400494,False
Flow IAT Max,Flow Packets/s,0.5801569765084374,0.984409220476762,1.4236062136779006,True
Flow Duration,Flow Packets/s,0.586802535567176,0.9850246753127254,1.4355159056303988,True
Bwd Header Length,Total Fwd Packet,0.5975434913842268,0.9631913571946316,1.3406817966670357,False
Flow IAT Std,Flow Packets/s,0.6092421930589432,0.9791807900639896,1.4088524533792788,True
ACK Flag Count,Total Fwd Packet,0.6182294296713468,0.9437072179493036,1.3933841873810926,False
Bwd Packet Length Mean,Packet Length Mean,0.6234906908962674,0.9850583384323388,1.5098076277753265,True
Fwd Header Length,Total Fwd Packet,0.644967789378858,0.9734299464829794,1.485266107827964,True
Bwd Packet Length Max,Packet Length Std,0.6597676091697724,0.987834684567576,1.588474103679249,True
Subflow Bwd Bytes,Packet Length Mean,0.6648129574962728,0.9880742185733902,1.589869709645411,True
Total Bwd packets,Total Fwd Packet,0.6665805015300137,0.9610972051693508,1.4554279666516836,False
Subflow Fwd Bytes,Fwd Packet Length Mean,0.6720629287584546,0.9885008801374172,1.583791313313436,True
Packet Length Max,Packet Length Std,0.6826248556149478,0.989308777835464,1.6393204296525716,True
Bwd Packet Length Std,Packet Length Std,0.700613451914013,0.9353265870093286,1.3758559146094664,False
Bwd Packets/s,Flow Packets/s,0.736798705109951,0.9939310012680448,1.741643750934724,True
Flow IAT Mean,Flow Packets/s,0.7597805573221612,0.9947138280918608,1.8505980290947013,True
Idle Max,Idle Min,0.7723335251318878,0.8520977697659305,1.6395180361933344,False
Fwd IAT Total,Fwd IAT Mean,0.7790361528610693,0.990560742996676,1.9356343634624733,True
Fwd IAT Max,Fwd IAT Mean,0.7911194100636857,0.9911267513425276,1.952110927778748,True
Idle Mean,Idle Min,0.8180651277730392,0.8638799786151936,1.790309140054487,False
Bwd PSH Flags,PSH Flag Count,0.8434109733784296,0.9294667787558482,1.698721828136634,False
Fwd Packets/s,Flow Packets/s,0.8455833057269003,0.9968419412491322,2.081281936241885,True
Bwd IAT Total,Bwd IAT Max,0.8505964672888063,0.9922778384280472,2.0131724885349,True
Bwd Packet/Bulk Avg,Bwd Bytes/Bulk Avg,0.8762633760075276,0.7633669959778233,1.7201761130129274,False
Packet Length Variance,Packet Length Std,0.9842954718408145,0.998010954486758,2.303662565679786,True
Fwd URG Flags,URG Flag Count,0.9890804296430814,0.0325348544772166,2.7777279719610544,False
Packet Length Min,Fwd Packet Length Min,0.99394933147195,0.9854886827352408,2.1826993288640524,True
