criterio,variante,umbral_B20,umbral_variante,aristas_B20,aristas_variante,entran,salen
L,B10,0.95,0.95,113,66,0,47
L,B50,0.95,0.95,113,173,60,0
L,qcut20,0.95,0.95,113,90,0,23
L_cal,B10,0.9413966274520271,0.9286147340631774,128,108,2,22
L_cal,B50,0.9413966274520271,0.9472012810555928,128,185,57,0
L_cal,qcut20,0.9413966274520271,0.9413966274520271,128,102,0,26
S,B10,0.36277530974817007,0.4305729689550942,271,205,0,66
S,B50,0.36277530974817007,0.2907543292456688,271,374,103,0
S,qcut20,0.36277530974817007,0.36277530974817007,271,190,1,82
G,B10,1.0,1.0,500,435,20,85
G,B50,1.0,1.0,500,612,120,8
G,qcut20,1.0,1.0,500,321,4,183
A_0.5,B10,0.29035329079958894,0.30093435664042256,746,762,50,34
A_0.5,B50,0.29035329079958894,0.28031432065547746,746,725,29,50
A_0.5,qcut20,0.29035329079958894,0.265829298569749,746,640,27,133
A_1,B10,0.37682639611202484,0.39221713373983913,396,402,39,33
A_1,B50,0.37682639611202484,0.3625271994934087,396,379,9,26
A_1,qcut20,0.37682639611202484,0.3445441229722801,396,341,25,80
A_1.5,B10,0.4632995014244607,0.48349991083925575,206,205,20,21
A_1.5,B50,0.4632995014244607,0.44474007833134,206,203,11,14
A_1.5,qcut20,0.4632995014244607,0.4232589473748112,206,195,22,33
A_2,B10,0.5497726067368965,0.5747826879386724,112,100,3,15
A_2,B50,0.5497726067368965,0.5269529571692713,112,113,18,17
A_2,qcut20,0.5497726067368965,0.5019737717773423,112,124,30,18
