epoch,train_total,train_recon,train_kl,val_total,val_recon,val_kl,seconds
1,-125.00565170514716,-137.36714939683256,12.361497943960009,-157.73375514251148,-169.96220909391218,12.228454609119819,9.720271199999843
2,-162.51233652224428,-174.8556529582551,12.343316598737966,-165.58686663894972,-177.8692030608021,12.28233646820088,9.279463300001225
3,-166.95949715301884,-178.8784387625709,11.918941577799865,-168.0976421138885,-179.81595482557657,11.718312448207534,8.380974999992759
4,-169.2158596250596,-180.80929430667493,11.593434753377585,-170.07883155314454,-181.5749016061027,11.496070417054872,9.012015000000247
5,-171.32739478895957,-182.76710123542026,11.439706633323459,-172.38432417502156,-183.84456715309088,11.460242707529058,8.66017620000639
6,-173.08758390196078,-184.41560494506382,11.32802118177678,-173.64096920527865,-184.8215518328934,11.18058262601864,8.63660150000942
7,-174.16019828627032,-185.2172471136469,11.057048804204513,-174.38148053687678,-185.2809813912904,10.899500899472956,8.06588950000878
8,-175.02158735529068,-185.80353079820972,10.781943347382896,-175.47031752896686,-186.09157736649036,10.621260342261857,7.968774100008886
9,-175.73125284581806,-186.29462769851006,10.563374656367689,-176.11910301284618,-186.55097965059994,10.431876157141208,7.829515999997966
10,-176.4355315283374,-186.7936162458036,10.358084589536553,-176.78843056906217,-187.03382556474511,10.245394745830712,8.081487500006915
11,-177.2116854921678,-187.41340916092318,10.201723812559491,-177.50700766591348,-187.6081121488288,10.101104093158133,8.033696699989378
12,-177.98697351178657,-187.95209784208598,9.965124340481152,-178.34616473013463,-188.16138128668004,9.815216547398464,9.415677800003323
13,-178.59544457595953,-188.3174054860249,9.721961184887157,-178.87314822636196,-188.5001138304682,9.626965005074739,9.03265459999966
14,-179.03820571673415,-188.52801054051284,9.489804880547858,-179.32288083462305,-188.70582705799467,9.382946096358285,8.950750300005893
15,-179.42304626085357,-188.68505824620235,9.262012117165634,-179.52084069769214,-188.63848660864707,9.11764568964845,9.495874000000185
16,-179.78409122565083,-188.71130847210358,8.927217381318213,-179.87445268830496,-188.50973863653866,8.63528621275785,8.705126100001507
17,-180.22356195818853,-188.766685807157,8.543123702036848,-180.38221748580418,-188.83123753464486,8.449019878855234,8.621070400011376
18,-180.6068694706552,-188.94843094349903,8.341561391820624,-180.67143328187547,-188.97682653352842,8.305392791175903,9.051101999997627
19,-180.99309078645751,-189.19704182214815,8.203951004099567,-181.22512839973874,-189.35929289032956,8.134164371558006,10.579806599998847
20,-181.33364166180942,-189.44390602147203,8.110264324582255,-181.3919572057316,-189.43861628821858,8.04665889807518,9.248154700006125
21,-181.58083245874172,-189.60780860082576,8.026975977071261,-181.45824426332393,-189.47321044509343,8.014966668950656,9.241880900008255
22,-181.77204755016496,-189.73132683111035,7.959279371109456,-181.84043510149712,-189.75143570128,7.911000217238844,8.715290400010417
23,-181.95298295719456,-189.85402612551619,7.901043182354393,-181.9506562998182,-189.834982363649,7.8843261421321476,10.97255919998861
24,-182.1354668915035,-189.97030639774724,7.834839277067142,-182.2509410100617,-190.02718620386239,7.776245341686179,8.522061299998313
25,-182.31565686958848,-190.0874351441979,7.771778300627819,-182.3321008687776,-190.09430582950765,7.762205212024925,9.247412799988524
26,-182.4177611870687,-190.14542661642264,7.727665422638455,-182.57458343358527,-190.24154755414625,7.666963910642145,8.51815329999954
