group,metric,seed,value
PortScan,mahalanobis_mean,42,2.875475227424615
PortScan,mahalanobis_median,42,2.8705341808550253
PortScan,mahalanobis_p5,42,2.7267925460334004
PortScan,mahalanobis_p25,42,2.7276084238611995
PortScan,mahalanobis_p75,42,2.882605248848118
PortScan,mahalanobis_p95,42,2.9697910290340546
PortScan,mahalanobis_iqr,42,0.15499682498691847
PortScan,mahalanobis_mean_robust_mcd,42,1825.535639777687
PortScan,mahalanobis_median_robust_mcd,42,1814.7420019268448
DoS_Hulk,mahalanobis_mean,42,3.571373339005324
DoS_Hulk,mahalanobis_median,42,3.0855052872440223
DoS_Hulk,mahalanobis_p5,42,2.7732437278543585
DoS_Hulk,mahalanobis_p25,42,2.943866258924252
DoS_Hulk,mahalanobis_p75,42,3.996141120847276
DoS_Hulk,mahalanobis_p95,42,5.598073529968263
DoS_Hulk,mahalanobis_iqr,42,1.0522748619230238
DoS_Hulk,mahalanobis_mean_robust_mcd,42,1849.0814786121487
DoS_Hulk,mahalanobis_median_robust_mcd,42,1859.097695221248
DDoS,mahalanobis_mean,42,5.820945020347465
DDoS,mahalanobis_median,42,5.726064537411712
DDoS,mahalanobis_p5,42,3.7351525000700563
DDoS,mahalanobis_p25,42,4.8476028858168245
DDoS,mahalanobis_p75,42,6.7824907610125456
DDoS,mahalanobis_p95,42,8.131535776816852
DDoS,mahalanobis_iqr,42,1.934887875195721
DDoS,mahalanobis_mean_robust_mcd,42,1838.368090015539
DDoS,mahalanobis_median_robust_mcd,42,1839.5508983274237
DoS_GoldenEye,mahalanobis_mean,42,4.423504380541666
DoS_GoldenEye,mahalanobis_median,42,4.0597532307414035
DoS_GoldenEye,mahalanobis_p5,42,2.5210282178521326
DoS_GoldenEye,mahalanobis_p25,42,3.2486229404321123
DoS_GoldenEye,mahalanobis_p75,42,5.395039652394528
DoS_GoldenEye,mahalanobis_p95,42,7.356159192238739
DoS_GoldenEye,mahalanobis_iqr,42,2.146416711962416
DoS_GoldenEye,mahalanobis_mean_robust_mcd,42,1904.7966776083995
DoS_GoldenEye,mahalanobis_median_robust_mcd,42,1851.334353608586
DoS_slowloris,mahalanobis_mean,42,6.491532590452949
DoS_slowloris,mahalanobis_median,42,6.265172688100361
DoS_slowloris,mahalanobis_p5,42,2.2605362038114936
DoS_slowloris,mahalanobis_p25,42,3.264370283605683
DoS_slowloris,mahalanobis_p75,42,8.817851584927725
DoS_slowloris,mahalanobis_p95,42,9.853954857172305
DoS_slowloris,mahalanobis_iqr,42,5.5534813013220425
DoS_slowloris,mahalanobis_mean_robust_mcd,42,1972.6975858498668
DoS_slowloris,mahalanobis_median_robust_mcd,42,2033.61399140828
FTP_Patator,mahalanobis_mean,42,2.003650496604609
FTP_Patator,mahalanobis_median,42,2.0039670525026714
FTP_Patator,mahalanobis_p5,42,1.992617171549876
FTP_Patator,mahalanobis_p25,42,2.0000518565954084
FTP_Patator,mahalanobis_p75,42,2.0076528938481855
