group,metric,seed,value
PortScan,log_density_benign_mean,42,14.20261922127281
PortScan,log_density_benign_median,42,4.201950056440065
PortScan,neighborhood_purity_mean,42,0.0315
PortScan,neighborhood_purity_median,42,0.0
DoS_Hulk,log_density_benign_mean,42,-5.336709278007216
DoS_Hulk,log_density_benign_median,42,-3.890057114614418
DoS_Hulk,neighborhood_purity_mean,42,0.0035
DoS_Hulk,neighborhood_purity_median,42,0.0
DDoS,log_density_benign_mean,42,-11.3289376723472
DDoS,log_density_benign_median,42,-11.905923474357959
DDoS,neighborhood_purity_mean,42,0.00032
DDoS,neighborhood_purity_median,42,0.0
DoS_GoldenEye,log_density_benign_mean,42,-8.743550499146549
DoS_GoldenEye,log_density_benign_median,42,-7.985066853689078
DoS_GoldenEye,neighborhood_purity_mean,42,0.012759999999999999
DoS_GoldenEye,neighborhood_purity_median,42,0.0
DoS_slowloris,log_density_benign_mean,42,-11.861804463849603
DoS_slowloris,log_density_benign_median,42,-14.648929293625931
DoS_slowloris,neighborhood_purity_mean,42,0.00469882529367658
DoS_slowloris,neighborhood_purity_median,42,0.0
FTP_Patator,log_density_benign_mean,42,-1.263604366657533
FTP_Patator,log_density_benign_median,42,-1.3494657295201424
FTP_Patator,neighborhood_purity_mean,42,0.0011578152529574629
FTP_Patator,neighborhood_purity_median,42,0.0
SSH_Patator,log_density_benign_mean,42,-2.978938563908435
SSH_Patator,log_density_benign_median,42,-2.9867246871873663
SSH_Patator,neighborhood_purity_mean,42,0.004563758389261745
SSH_Patator,neighborhood_purity_median,42,0.0
DoS_Slowhttptest,log_density_benign_mean,42,-10.225420125587206
DoS_Slowhttptest,log_density_benign_median,42,-9.409278948367803
DoS_Slowhttptest,neighborhood_purity_mean,42,0.008840413318025257
DoS_Slowhttptest,neighborhood_purity_median,42,0.0
Bot,log_density_benign_mean,42,-6.291330687025473
Bot,log_density_benign_median,42,-5.892087803863963
Bot,neighborhood_purity_mean,42,0.013008130081300815
Bot,neighborhood_purity_median,42,0.0
Web_Attack,log_density_benign_mean,42,-8.025978304531401
Web_Attack,log_density_benign_median,42,-8.74793629853514
Web_Attack,neighborhood_purity_mean,42,0.10263157894736842
Web_Attack,neighborhood_purity_median,42,0.0
Infiltration,log_density_benign_mean,42,-14.163504943184991
Infiltration,log_density_benign_median,42,-6.35877414659047
Infiltration,neighborhood_purity_mean,42,0.609375
Infiltration,neighborhood_purity_median,42,0.7
DoS_Hulk_attempted,log_density_benign_mean,42,-7.158258911364236
DoS_Hulk_attempted,log_density_benign_median,42,-2.6349288153497294
DoS_Hulk_attempted,neighborhood_purity_mean,42,0.007081174438687391
DoS_Hulk_attempted,neighborhood_purity_median,42,0.0
DoS_GoldenEye_attempted,log_density_benign_mean,42,-1.9215487739495232
DoS_GoldenEye_attempted,log_density_benign_median,42,-2.1997933872612125
DoS_GoldenEye_attempted,neighborhood_purity_mean,42,0.0225
DoS_GoldenEye_attempted,neighborhood_purity_median,42,0.0
DoS_slowloris_attempted,log_density_benign_mean,42,-6.493654555548265
DoS_slowloris_attempted,log_density_benign_median,42,-6.53969182473626
DoS_slowloris_attempted,neighborhood_purity_mean,42,0.003399765533411489
DoS_slowloris_attempted,neighborhood_purity_median,42,0.0
DoS_Slowhttptest_attempted,log_density_benign_mean,42,6.213948965048758
DoS_Slowhttptest_attempted,log_density_benign_median,42,8.724289446506845
DoS_Slowhttptest_attempted,neighborhood_purity_mean,42,0.004662904662904663
DoS_Slowhttptest_attempted,neighborhood_purity_median,42,0.0
Bot_attempted,log_density_benign_mean,42,26.759449266141683
Bot_attempted,log_density_benign_median,42,26.497349502820786
Bot_attempted,neighborhood_purity_mean,42,0.007619047619047618
Bot_attempted,neighborhood_purity_median,42,0.0
WebAttack_BruteForce,log_density_benign_mean,42,-8.608540147456296
WebAttack_BruteForce,log_density_benign_median,42,-8.944559056056363
WebAttack_BruteForce,neighborhood_purity_mean,42,0.06688741721854305
WebAttack_BruteForce,neighborhood_purity_median,42,0.0
WebAttack_BruteForce_attempted,log_density_benign_mean,42,9.112218747285565
WebAttack_BruteForce_attempted,log_density_benign_median,42,9.362213268514834
WebAttack_BruteForce_attempted,neighborhood_purity_mean,42,0.003953871499176277
WebAttack_BruteForce_attempted,neighborhood_purity_median,42,0.0
PortScan,log_density_benign_mean,0,14.869658561150217
PortScan,log_density_benign_median,0,2.0112904349710092
PortScan,neighborhood_purity_mean,0,0.027
PortScan,neighborhood_purity_median,0,0.0
DoS_Hulk,log_density_benign_mean,0,-8.433195429260428
DoS_Hulk,log_density_benign_median,0,-8.399664892520255
DoS_Hulk,neighborhood_purity_mean,0,0.00176
DoS_Hulk,neighborhood_purity_median,0,0.0
DDoS,log_density_benign_mean,0,-8.141604089146067
DDoS,log_density_benign_median,0,-7.831402797222558
DDoS,neighborhood_purity_mean,0,0.0012399999999999998
DDoS,neighborhood_purity_median,0,0.0
DoS_GoldenEye,log_density_benign_mean,0,-8.480093009658804
DoS_GoldenEye,log_density_benign_median,0,-8.480021203428624
DoS_GoldenEye,neighborhood_purity_mean,0,0.00796
DoS_GoldenEye,neighborhood_purity_median,0,0.0
DoS_slowloris,log_density_benign_mean,0,-10.737891527117363
DoS_slowloris,log_density_benign_median,0,-13.230299954076573
DoS_slowloris,neighborhood_purity_mean,0,0.005398650337415646
DoS_slowloris,neighborhood_purity_median,0,0.0
FTP_Patator,log_density_benign_mean,0,-3.9719449032495135
FTP_Patator,log_density_benign_median,0,-3.972297573923873
FTP_Patator,neighborhood_purity_mean,0,0.00030203876164107727
FTP_Patator,neighborhood_purity_median,0,0.0
SSH_Patator,log_density_benign_mean,0,-6.630898967094202
SSH_Patator,log_density_benign_median,0,-6.733382075160932
SSH_Patator,neighborhood_purity_mean,0,0.004731543624161073
SSH_Patator,neighborhood_purity_median,0,0.0
DoS_Slowhttptest,log_density_benign_mean,0,-9.05059464241973
DoS_Slowhttptest,log_density_benign_median,0,-7.77135711737642
DoS_Slowhttptest,neighborhood_purity_mean,0,0.00912743972445465
DoS_Slowhttptest,neighborhood_purity_median,0,0.0
Bot,log_density_benign_mean,0,-3.3715993305435132
Bot,log_density_benign_median,0,-2.7474388853920306
Bot,neighborhood_purity_mean,0,0.012059620596205963
Bot,neighborhood_purity_median,0,0.0
Web_Attack,log_density_benign_mean,0,-8.501240623953354
Web_Attack,log_density_benign_median,0,-9.56130362119669
Web_Attack,neighborhood_purity_mean,0,0.10894736842105263
Web_Attack,neighborhood_purity_median,0,0.0
Infiltration,log_density_benign_mean,0,-13.950226879686559
Infiltration,log_density_benign_median,0,-8.415481237369722
Infiltration,neighborhood_purity_mean,0,0.58125
Infiltration,neighborhood_purity_median,0,0.6499999999999999
DoS_Hulk_attempted,log_density_benign_mean,0,-7.812252576476013
DoS_Hulk_attempted,log_density_benign_median,0,-10.709910017815627
DoS_Hulk_attempted,neighborhood_purity_mean,0,0.01226252158894646
DoS_Hulk_attempted,neighborhood_purity_median,0,0.0
DoS_GoldenEye_attempted,log_density_benign_mean,0,2.5096857564246164
DoS_GoldenEye_attempted,log_density_benign_median,0,2.3532043147219497
DoS_GoldenEye_attempted,neighborhood_purity_mean,0,0.0225
DoS_GoldenEye_attempted,neighborhood_purity_median,0,0.0
DoS_slowloris_attempted,log_density_benign_mean,0,-6.303137901955988
DoS_slowloris_attempted,log_density_benign_median,0,-6.478298574045714
DoS_slowloris_attempted,neighborhood_purity_mean,0,0.0032825322391559202
