group,metric,seed,value
PortScan,posterior_mahalanobis_mean,42,3.4762227227382376
PortScan,posterior_mahalanobis_median,42,3.4317989179114576
PortScan,posterior_mahalanobis_p25,42,3.2966657410309343
PortScan,posterior_mahalanobis_p75,42,3.570414057667139
DoS_Hulk,posterior_mahalanobis_mean,42,4.044653660922197
DoS_Hulk,posterior_mahalanobis_median,42,3.642459167801783
DoS_Hulk,posterior_mahalanobis_p25,42,3.409813726560647
DoS_Hulk,posterior_mahalanobis_p75,42,4.4425068701349995
DDoS,posterior_mahalanobis_mean,42,6.154908615772548
DDoS,posterior_mahalanobis_median,42,6.064515778182917
DDoS,posterior_mahalanobis_p25,42,5.186015430772265
DDoS,posterior_mahalanobis_p75,42,7.096179107620033
DoS_GoldenEye,posterior_mahalanobis_mean,42,4.7195114642638
DoS_GoldenEye,posterior_mahalanobis_median,42,4.362652836992112
DoS_GoldenEye,posterior_mahalanobis_p25,42,3.528772251406499
DoS_GoldenEye,posterior_mahalanobis_p75,42,5.665459807699865
DoS_slowloris,posterior_mahalanobis_mean,42,6.753232204678038
DoS_slowloris,posterior_mahalanobis_median,42,6.529806396798281
DoS_slowloris,posterior_mahalanobis_p25,42,3.8165852852231845
DoS_slowloris,posterior_mahalanobis_p75,42,8.9699214284969
FTP_Patator,posterior_mahalanobis_mean,42,2.7912780782779705
FTP_Patator,posterior_mahalanobis_median,42,2.7808412852423205
FTP_Patator,posterior_mahalanobis_p25,42,2.6644564736180008
FTP_Patator,posterior_mahalanobis_p75,42,2.9116271957199986
SSH_Patator,posterior_mahalanobis_mean,42,2.245518106289504
SSH_Patator,posterior_mahalanobis_median,42,2.234186220697718
SSH_Patator,posterior_mahalanobis_p25,42,2.132272402399495
SSH_Patator,posterior_mahalanobis_p75,42,2.3355868956370087
DoS_Slowhttptest,posterior_mahalanobis_mean,42,5.35363624883447
DoS_Slowhttptest,posterior_mahalanobis_median,42,4.026745551897557
DoS_Slowhttptest,posterior_mahalanobis_p25,42,3.8386632788434643
DoS_Slowhttptest,posterior_mahalanobis_p75,42,6.216551198540968
Bot,posterior_mahalanobis_mean,42,3.198583428095137
Bot,posterior_mahalanobis_median,42,2.8040236819638533
Bot,posterior_mahalanobis_p25,42,2.685933447991811
Bot,posterior_mahalanobis_p75,42,2.949556068926869
Web_Attack,posterior_mahalanobis_mean,42,4.0925082937044905
Web_Attack,posterior_mahalanobis_median,42,3.9740482896575977
Web_Attack,posterior_mahalanobis_p25,42,3.0539882087233097
Web_Attack,posterior_mahalanobis_p75,42,5.192107379601692
Infiltration,posterior_mahalanobis_mean,42,35.732994828407804
Infiltration,posterior_mahalanobis_median,42,4.559651368199145
Infiltration,posterior_mahalanobis_p25,42,3.564170307743257
Infiltration,posterior_mahalanobis_p75,42,27.193300621295815
DoS_Hulk_attempted,posterior_mahalanobis_mean,42,5.3845898232258
DoS_Hulk_attempted,posterior_mahalanobis_median,42,5.766687614783182
DoS_Hulk_attempted,posterior_mahalanobis_p25,42,3.7997060560369467
DoS_Hulk_attempted,posterior_mahalanobis_p75,42,6.3498980486135075
DoS_GoldenEye_attempted,posterior_mahalanobis_mean,42,3.5019779585197357
DoS_GoldenEye_attempted,posterior_mahalanobis_median,42,3.4564518987994846
DoS_GoldenEye_attempted,posterior_mahalanobis_p25,42,3.312801402232922
DoS_GoldenEye_attempted,posterior_mahalanobis_p75,42,3.5787161482231675
DoS_slowloris_attempted,posterior_mahalanobis_mean,42,4.217793799108541
DoS_slowloris_attempted,posterior_mahalanobis_median,42,4.253192044339162
DoS_slowloris_attempted,posterior_mahalanobis_p25,42,4.160390884856988
DoS_slowloris_attempted,posterior_mahalanobis_p75,42,4.342437171410249
DoS_Slowhttptest_attempted,posterior_mahalanobis_mean,42,5.256693610866727
DoS_Slowhttptest_attempted,posterior_mahalanobis_median,42,5.580986204630986
DoS_Slowhttptest_attempted,posterior_mahalanobis_p25,42,5.466270751784792
DoS_Slowhttptest_attempted,posterior_mahalanobis_p75,42,5.668032274710686
Bot_attempted,posterior_mahalanobis_mean,42,3.5503634967854474
Bot_attempted,posterior_mahalanobis_median,42,3.542759408335691
Bot_attempted,posterior_mahalanobis_p25,42,3.429934156898928
Bot_attempted,posterior_mahalanobis_p75,42,3.663142694232071
WebAttack_BruteForce,posterior_mahalanobis_mean,42,4.156270967354458
WebAttack_BruteForce,posterior_mahalanobis_median,42,3.9759132138651267
WebAttack_BruteForce,posterior_mahalanobis_p25,42,3.060945434683523
WebAttack_BruteForce,posterior_mahalanobis_p75,42,5.274491392572283
WebAttack_BruteForce_attempted,posterior_mahalanobis_mean,42,2.9206289135736765
WebAttack_BruteForce_attempted,posterior_mahalanobis_median,42,2.9016102240535346
WebAttack_BruteForce_attempted,posterior_mahalanobis_p25,42,2.812540869251111
WebAttack_BruteForce_attempted,posterior_mahalanobis_p75,42,3.0115991846491497
PortScan,posterior_mahalanobis_mean,0,3.6140131735238983
PortScan,posterior_mahalanobis_median,0,3.573597968722667
PortScan,posterior_mahalanobis_p25,0,3.397410817272409
PortScan,posterior_mahalanobis_p75,0,3.7675784221871074
DoS_Hulk,posterior_mahalanobis_mean,0,4.422429632767921
DoS_Hulk,posterior_mahalanobis_median,0,4.200881517035263
DoS_Hulk,posterior_mahalanobis_p25,0,3.8988671580601504
DoS_Hulk,posterior_mahalanobis_p75,0,4.746202332693544
DDoS,posterior_mahalanobis_mean,0,4.83848892966833
DDoS,posterior_mahalanobis_median,0,4.68770901483041
DDoS,posterior_mahalanobis_p25,0,4.108833235602533
DDoS,posterior_mahalanobis_p75,0,5.432156273496743
