mcd_n_used,metric,p_value,seed,value
20000,spearman_rho_standard_vs_robust_mcd,0.16014543725525882,42,0.45454545454545453
20000,spearman_rho_standard_vs_robust_mcd,0.00845472888506156,0,0.7454545454545456
20000,spearman_rho_standard_vs_robust_mcd,0.0006116938500931706,1,0.8636363636363636
20000,spearman_rho_standard_vs_robust_mcd,0.00010559337630360869,2,0.9090909090909091
20000,spearman_rho_standard_vs_robust_mcd,0.020842853610945056,3,0.6818181818181819
20000,spearman_rho_standard_vs_robust_mcd,0.00015997142806871369,4,0.9
20000,spearman_rho_standard_vs_robust_mcd,0.009759535959916903,5,0.7363636363636363
20000,spearman_rho_standard_vs_robust_mcd,0.0010451821458586869,6,0.8454545454545455
20000,spearman_rho_standard_vs_robust_mcd,0.0013331850799508562,7,0.8363636363636365
20000,spearman_rho_standard_vs_robust_mcd,0.22286835013352002,8,0.4000000000000001
