group,n,p_value,seed,spearman_rho_connection_level
PortScan,159023,0.0,42,-0.5320320023753582
DoS_Hulk,158469,0.0,42,0.20235873079099534
DDoS,95123,0.0,42,0.6168909590072632
DoS_GoldenEye,7567,0.08402930114045162,42,-0.019863382371919567
DoS_slowloris,4001,0.0,42,0.8845906643101498
FTP_Patator,3973,0.009808720882001052,42,0.04096712320471265
SSH_Patator,2980,3.679856846845742e-55,42,-0.2808956954428011
DoS_Slowhttptest,1742,4.589267374682035e-303,42,0.7408514951436923
Bot,738,1.1494325526787696e-08,42,0.20812792292610624
Web_Attack,190,1.0008636541486527e-68,42,0.8974136912963037
Infiltration,32,4.878426919437416e-13,42,0.910557184750733
