detect_metric,geometry_metric,kendall_tau,n_families,seed,spearman_rho
auc_roc,bhattacharyya_cov_term,-0.3090909090909091,11,42,-0.41818181818181827
auc_pr,bhattacharyya_cov_term,-0.34545454545454546,11,42,-0.5090909090909091
tpr_at_fpr5,bhattacharyya_cov_term,-0.34545454545454546,11,42,-0.43636363636363645
auc_roc,bhattacharyya_mean_term,0.018181818181818184,11,42,0.0
auc_pr,bhattacharyya_mean_term,0.7090909090909091,11,42,0.8636363636363636
tpr_at_fpr5,bhattacharyya_mean_term,-0.0909090909090909,11,42,-0.13636363636363638
auc_roc,bhattacharyya_total,-0.0909090909090909,11,42,-0.19090909090909092
auc_pr,bhattacharyya_total,-0.05454545454545454,11,42,-0.05454545454545456
tpr_at_fpr5,bhattacharyya_total,-0.2,11,42,-0.3090909090909091
auc_roc,cov_logdet,0.41818181818181815,11,42,0.5454545454545455
auc_pr,cov_logdet,0.23636363636363636,11,42,0.3454545454545455
tpr_at_fpr5,cov_logdet,0.5272727272727272,11,42,0.5818181818181819
auc_roc,cov_trace,0.23636363636363636,11,42,0.3454545454545455
auc_pr,cov_trace,0.05454545454545454,11,42,0.03636363636363637
tpr_at_fpr5,cov_trace,0.34545454545454546,11,42,0.48181818181818187
auc_roc,energy_distance,0.2,11,42,0.22727272727272727
auc_pr,energy_distance,0.6000000000000001,11,42,0.7181818181818183
tpr_at_fpr5,energy_distance,0.0909090909090909,11,42,0.1272727272727273
auc_roc,log_density_benign_mean,-0.45454545454545453,11,42,-0.6000000000000001
auc_pr,log_density_benign_mean,-0.2,11,42,-0.26363636363636367
tpr_at_fpr5,log_density_benign_mean,-0.5636363636363636,11,42,-0.6454545454545455
auc_roc,log_density_benign_median,-0.23636363636363636,11,42,-0.41818181818181827
auc_pr,log_density_benign_median,-0.2727272727272727,11,42,-0.3181818181818182
tpr_at_fpr5,log_density_benign_median,-0.4909090909090909,11,42,-0.5818181818181819
auc_roc,mahalanobis_iqr,0.45454545454545453,11,42,0.6272727272727273
auc_pr,mahalanobis_iqr,0.2727272727272727,11,42,0.33636363636363636
tpr_at_fpr5,mahalanobis_iqr,0.4909090909090909,11,42,0.6181818181818182
auc_roc,mahalanobis_mean,0.41818181818181815,11,42,0.5
auc_pr,mahalanobis_mean,0.3090909090909091,11,42,0.48181818181818187
tpr_at_fpr5,mahalanobis_mean,0.45454545454545453,11,42,0.4727272727272727
auc_roc,mahalanobis_mean_robust_mcd,0.6000000000000001,11,42,0.7090909090909092
auc_pr,mahalanobis_mean_robust_mcd,-0.0909090909090909,11,42,-0.10000000000000002
tpr_at_fpr5,mahalanobis_mean_robust_mcd,0.4909090909090909,11,42,0.6363636363636364
auc_roc,mahalanobis_median,0.3090909090909091,11,42,0.38181818181818183
auc_pr,mahalanobis_median,0.34545454545454546,11,42,0.5363636363636364
